0. E1/E2 	45560 / 3802	624845 ms 331529/2049 1068-24391-199581	E: 9201 / 8467
1. E1/E2 	45825 / 6382	780500 ms 333854/2067 1262-41111-335451	E: 9183 / 8996
2. E1/E2 	45783 / 7262	834428 ms 334402/2068 1318-46809-382278	E: 9064 / 8923
3. E1/E2 	45702 / 7718	861294 ms 334904/2061 1347-49641-405556	E: 9224 / 8778
4. E1/E2 	45766 / 8121	877364 ms 331919/2039 1373-51281-424572	E: 9236 / 8924
5. E1/E2 	45751 / 8275	890501 ms 332836/2056 1384-52406-436087	E: 9115 / 8988
6. E1/E2 	45726 / 8241	793838 ms 321522/1851 1186-49941-359356	E: 9581 / 8920
7. E1/E2 	45481 / 8112	647692 ms 310458/1546 828-46375-226967	E: 9528 / 8860
8. E1/E2 	45671 / 8111	639473 ms 305472/1525 822-45733-226211	E: 8970 / 8605
9. E1/E2 	45586 / 8298	646266 ms 306603/1511 825-46698-230426	E: 8900 / 8791
10. E1/E2 	45609 / 8516	654717 ms 306694/1514 846-48109-237746	E: 9237 / 8450
11. E1/E2 	45473 / 8450	556026 ms 245984/1216 830-40353-236179	E: 8950 / 8780
12. E1/E2 	45480 / 8419	460056 ms 164835/785 791-29846-232642	E: 9900 / 8807
13. E1/E2 	45489 / 8378	453284 ms 160595/779 816-28867-231197	E: 8832 / 8215
14. E1/E2 	45363 / 8278	449116 ms 160419/779 810-28406-228016	E: 9305 / 8664
15. E1/E2 	45418 / 8474	454850 ms 160418/772 820-28815-233481	E: 8940 / 8526
16. E1/E2 	45404 / 8309	449695 ms 159757/782 823-28492-229160	E: 9027 / 8252
17. E1/E2 	45254 / 8547	456315 ms 159505/776 832-29090-235627	E: 9420 / 8372
18. E1/E2 	45165 / 8429	453606 ms 160166/779 815-28856-232376	E: 9068 / 8950
19. E1/E2 	45322 / 8579	457596 ms 159810/777 827-29405-236400	E: 9122 / 8830
20. E1/E2 	45332 / 8413	452583 ms 159737/782 820-28698-231956	E: 9677 / 8607
21. E1/E2 	45171 / 8537	455483 ms 158937/772 826-29177-235256	E: 9003 / 8727
22. E1/E2 	45205 / 8292	449218 ms 160037/780 808-28439-228477	E: 8972 / 8757
23. E1/E2 	45176 / 8542	456529 ms 159612/774 830-29184-235421	E: 9058 / 8188
24. E1/E2 	45221 / 8832	466123 ms 160112/777 847-30188-243594	E: 9069 / 8281
25. E1/E2 	45050 / 8476	454859 ms 159802/780 814-28965-233516	E: 9119 / 8048
26. E1/E2 	45077 / 8411	453664 ms 160541/778 824-28846-231908	E: 9554 / 8988
27. E1/E2 	45077 / 8652	460002 ms 159710/775 835-29630-238409	E: 9180 / 8686
28. E1/E2 	45077 / 8542	458420 ms 160772/783 823-29312-235359	E: 9006 / 8760
29. E1/E2 	45116 / 8594	458359 ms 159665/775 830-29323-236875	E: 9007 / 8918
30. E1/E2 	44988 / 8630	463313 ms 162007/782 829-29921-238019	E: 9072 / 8447
31. E1/E2 	45136 / 8599	460152 ms 160918/782 836-29646-237120	E: 9025 / 8978
32. E1/E2 	45081 / 8546	458625 ms 161362/782 818-29404-235396	E: 8844 / 8674
33. E1/E2 	45031 / 8641	459677 ms 159879/775 829-29575-238175	E: 9152 / 8690
34. E1/E2 	44871 / 8776	465929 ms 161505/784 833-30200-241826	E: 9241 / 8969
35. E1/E2 	44940 / 8827	466276 ms 160274/774 846-30276-243359	E: 8895 / 8622
36. E1/E2 	45061 / 8915	470658 ms 161518/786 854-30823-245803	E: 9390 / 8677
37. E1/E2 	44879 / 8821	466472 ms 160514/779 835-30187-243031	E: 9109 / 8781
38. E1/E2 	44850 / 8421	455058 ms 161672/783 806-29087-231824	E: 9600 / 8648
39. E1/E2 	44864 / 8686	461637 ms 160299/779 827-29659-239276	E: 9125 / 8945
40. E1/E2 	44925 / 8842	468361 ms 161696/779 833-30521-243508	E: 9103 / 8132
41. E1/E2 	44831 / 8575	458850 ms 160796/782 827-29370-236283	E: 9438 / 8399
42. E1/E2 	44870 / 8929	471926 ms 162310/792 845-30839-246146	E: 9226 / 8465
43. E1/E2 	44866 / 8631	464662 ms 161853/792 837-29904-238055	E: 8985 / 8404
44. E1/E2 	44891 / 8896	473322 ms 163607/791 856-31046-245309	E: 9116 / 8252
45. E1/E2 	44894 / 8971	476317 ms 164538/794 849-31364-247221	E: 9783 / 8671
46. E1/E2 	44805 / 8676	464931 ms 162363/787 837-30146-239153	E: 8828 / 8339
47. E1/E2 	44746 / 8572	462285 ms 163143/792 835-29828-236496	E: 8997 / 8975
48. E1/E2 	44805 / 8985	475115 ms 163317/788 851-31259-247658	E: 8865 / 8344
49. E1/E2 	44730 / 8794	469802 ms 163723/791 845-30705-242485	E: 9649 / 8479
50. E1/E2 	44553 / 8807	469229 ms 162496/782 845-30606-242840	E: 9060 / 8182
51. E1/E2 	44747 / 8697	466665 ms 163232/789 848-30450-239976	E: 8884 / 8210
52. E1/E2 	44741 / 9108	478804 ms 163094/785 861-31623-251016	E: 9240 / 8489
53. E1/E2 	44695 / 8838	469345 ms 162626/785 853-30623-243458	E: 9367 / 8553
54. E1/E2 	44749 / 8995	471227 ms 159991/776 864-30864-247550	E: 9794 / 8898
55. E1/E2 	44633 / 8483	456432 ms 161098/787 832-29200-233432	E: 8988 / 8918
56. E1/E2 	44649 / 9007	473329 ms 161291/778 868-30946-247943	E: 9193 / 8553
57. E1/E2 	44680 / 8549	481453 ms 174460/829 846-31949-237570	E: 9150 / 8755
58. E1/E2 	44738 / 8745	519806 ms 195625/884 843-36663-247809	E: 8987 / 8718
59. E1/E2 	44669 / 8927	519560 ms 194231/879 845-37198-253064	E: 9379 / 8212
60. E1/E2 	44591 / 8860	523583 ms 194774/883 857-37066-250929	E: 9378 / 8212
61. E1/E2 	44554 / 8510	503320 ms 190564/874 843-34960-240494	E: 8935 / 8300
62. E1/E2 	44599 / 9019	508129 ms 177752/831 869-34375-252002	E: 9186 / 8595
63. E1/E2 	44542 / 8785	481109 ms 171742/806 839-32353-243370	E: 9160 / 8240
64. E1/E2 	44509 / 9136	480523 ms 163604/784 870-31981-251649	E: 9074 / 8348
65. E1/E2 	44584 / 8916	471869 ms 162583/785 858-31005-245552	E: 8962 / 8851
66. E1/E2 	44382 / 8951	471978 ms 161760/780 864-30993-246372	E: 9155 / 8804
67. E1/E2 	44522 / 8821	473402 ms 165932/791 857-31244-242860	E: 8774 / 8294
68. E1/E2 	44564 / 8587	463438 ms 163507/788 848-29874-236325	E: 8689 / 8304
69. E1/E2 	44372 / 8553	465608 ms 166435/792 843-30280-235575	E: 9435 / 8559
70. E1/E2 	44449 / 8878	474112 ms 165115/789 866-31118-244595	E: 9078 / 8752
71. E1/E2 	44621 / 9119	480522 ms 164558/788 875-31867-250921	E: 8884 / 8122
72. E1/E2 	44483 / 8720	468388 ms 164172/783 846-30574-239878	E: 9430 / 8266
73. E1/E2 	44573 / 9294	488922 ms 166552/793 884-32702-255937	E: 8925 / 8743
74. E1/E2 	44437 / 8581	466755 ms 166200/794 840-30476-236358	E: 9269 / 8436
75. E1/E2 	44447 / 8608	467484 ms 166349/795 849-30484-237258	E: 9010 / 8677
76. E1/E2 	44465 / 8841	474542 ms 165334/784 864-31122-243381	E: 9614 / 8891
77. E1/E2 	44461 / 8874	470145 ms 162284/783 862-30729-244204	E: 8822 / 8412
78. E1/E2 	44384 / 9175	509023 ms 180227/835 868-35413-255833	E: 9247 / 8907
79. E1/E2 	44447 / 8660	489061 ms 178618/834 826-33065-241697	E: 8980 / 8904
80. E1/E2 	44478 / 8775	502872 ms 184238/842 850-35231-247623	E: 8908 / 8446
81. E1/E2 	44431 / 8682	488583 ms 177602/830 845-33457-242980	E: 9540 / 8611
82. E1/E2 	44403 / 8870	484799 ms 170104/803 819-32398-245557	E: 9611 / 8935
83. E1/E2 	44372 / 8416	457005 ms 163717/782 795-29579-231616	E: 9136 / 8910
84. E1/E2 	44433 / 8611	461173 ms 162582/785 826-29712-236613	E: 8714 / 8317
85. E1/E2 	44383 / 8120	442078 ms 158969/783 800-27796-222996	E: 8751 / 8336
86. E1/E2 	44329 / 8775	463982 ms 160732/778 837-30226-240872	E: 9054 / 8533
87. E1/E2 	44284 / 8938	467576 ms 159288/776 847-30560-245497	E: 8978 / 8926
88. E1/E2 	44236 / 8488	456568 ms 161476/783 832-29361-233416	E: 9568 / 8927
89. E1/E2 	44200 / 8723	462563 ms 160182/779 837-30038-239628	E: 8701 / 8207
90. E1/E2 	44280 / 8946	470272 ms 161334/783 846-30830-245765	E: 9079 / 8317
91. E1/E2 	44240 / 8771	463136 ms 159851/778 838-30095-240856	E: 8970 / 8557
92. E1/E2 	44461 / 8744	464078 ms 161108/786 843-30106-240389	E: 9231 / 8699
93. E1/E2 	44380 / 8148	443705 ms 159757/779 802-28051-223759	E: 9254 / 8584
94. E1/E2 	44158 / 8315	450352 ms 160993/782 813-28680-228443	E: 8570 / 8089
95. E1/E2 	44256 / 8485	455367 ms 160551/779 824-29149-233139	E: 9169 / 8512
96. E1/E2 	44215 / 8164	447184 ms 161846/784 812-28371-224592	E: 8987 / 8800
97. E1/E2 	44253 / 8572	458375 ms 160791/781 825-29597-235458	E: 9021 / 8159
98. E1/E2 	44409 / 8747	466980 ms 163370/788 836-30485-240586	E: 9020 / 8749
99. E1/E2 	44242 / 8548	457967 ms 160965/781 831-29519-234928	E: 9391 / 8405
100. E1/E2 	44267 / 8877	470362 ms 162784/790 837-30897-244188	E: 9239 / 8847
101. E1/E2 	44355 / 8339	450639 ms 160353/781 813-28703-229102	E: 9423 / 8870
102. E1/E2 	44206 / 8794	466217 ms 161388/780 843-30469-241877	E: 9659 / 8745
103. E1/E2 	44021 / 8319	450226 ms 160555/783 806-28651-228572	E: 8712 / 8227
104. E1/E2 	44314 / 8492	476182 ms 172005/822 823-31487-235587	E: 8977 / 8882
105. E1/E2 	44141 / 8526	487897 ms 180821/845 822-33257-238670	E: 9263 / 8456
106. E1/E2 	44085 / 8393	466604 ms 169513/816 819-30836-233117	E: 8740 / 8295
107. E1/E2 	44040 / 8332	481375 ms 181536/834 787-32855-231856	E: 8565 / 8111
