0. E1/E2 	45546 / 6693	1186682 ms 667927/5849 2213-30504-333036	E: 8910 / 7653
1. E1/E2 	44232 / 5725	1152781 ms 681532/5646 2399-26567-300401	E: 8671 / 7709
2. E1/E2 	43323 / 5362	1134292 ms 680632/6760 2292-24920-280641	E: 9056 / 8071
3. E1/E2 	42640 / 4735	1102500 ms 682926/6211 2257-22288-248225	E: 8724 / 7706
4. E1/E2 	42040 / 4347	1078150 ms 685963/6141 2251-20229-226716	E: 8585 / 7590
5. E1/E2 	41755 / 4068	1053811 ms 678697/6092 2268-18620-212681	E: 8988 / 7996
6. E1/E2 	41053 / 3998	1051667 ms 680064/5493 2225-18265-209124	E: 9182 / 8507
7. E1/E2 	40617 / 3795	1050172 ms 686041/6175 2183-17577-198590	E: 8909 / 7813
8. E1/E2 	40103 / 3650	1056434 ms 702683/6442 2129-17269-191561	E: 9039 / 8113
9. E1/E2 	39772 / 3393	1021333 ms 681684/6080 2152-15625-177454	E: 9415 / 8131
10. E1/E2 	39274 / 3342	1030640 ms 694773/5659 2095-15727-174747	E: 9246 / 8432
11. E1/E2 	39003 / 3372	1027552 ms 690393/5558 2098-15811-176459	E: 8645 / 7714
12. E1/E2 	38620 / 3170	1020907 ms 693575/5617 2067-14764-165930	E: 8682 / 7618
13. E1/E2 	38452 / 3131	1014608 ms 690453/6152 2067-14688-163851	E: 8809 / 7561
14. E1/E2 	37958 / 3155	1013654 ms 689427/5600 2028-14720-165003	E: 8729 / 7670
15. E1/E2 	37964 / 3017	1003952 ms 687747/5531 2026-14002-157464	E: 8596 / 7524
16. E1/E2 	37848 / 2918	993958 ms 682516/6082 2035-13472-152609	E: 8844 / 7982
17. E1/E2 	37169 / 2970	998964 ms 684273/6066 2004-13734-155495	E: 8852 / 7789
18. E1/E2 	36872 / 2984	992410 ms 680547/5577 1970-13740-154792	E: 8736 / 7730
19. E1/E2 	36639 / 2821	992088 ms 686338/6109 1976-13154-147589	E: 8816 / 8000
20. E1/E2 	36512 / 2817	1003945 ms 692253/6585 1935-13316-147875	E: 8926 / 8197
21. E1/E2 	36473 / 2837	999093 ms 689304/8290 1847-13286-148634	E: 9188 / 7994
22. E1/E2 	36241 / 2668	989027 ms 689413/7310 1854-12497-139577	E: 9176 / 8191
23. E1/E2 	35579 / 2892	1034175 ms 694243/7376 1843-13689-151936	E: 8882 / 7878
24. E1/E2 	35415 / 2845	1039336 ms 721888/5874 1942-13837-154509	E: 8744 / 7594
25. E1/E2 	36069 / 2682	1033201 ms 721266/8482 1981-13218-146775	E: 9179 / 8011
26. E1/E2 	35637 / 2602	1033022 ms 730125/6955 1957-12515-143923	E: 8913 / 7729
27. E1/E2 	35403 / 2628	987444 ms 691227/5497 1905-12376-137758	E: 9253 / 8138
28. E1/E2 	35367 / 2603	977201 ms 683300/5403 1916-12124-136014	E: 8842 / 7806
29. E1/E2 	35245 / 2543	984656 ms 692756/5501 1888-11982-132670	E: 8819 / 7898
30. E1/E2 	34433 / 2568	989344 ms 692451/5481 1841-12072-134333	E: 8716 / 7859
31. E1/E2 	34672 / 2473	991856 ms 701127/6259 1855-11866-130132	E: 8933 / 7894
32. E1/E2 	34397 / 2517	988391 ms 696884/5565 1810-11906-132840	E: 9049 / 7819
33. E1/E2 	34475 / 2454	978751 ms 693165/5500 1821-11588-128187	E: 8643 / 7619
34. E1/E2 	34342 / 2497	976521 ms 689358/6077 1819-11792-130582	E: 8972 / 7755
35. E1/E2 	33884 / 2539	982784 ms 693344/5490 1777-12079-132711	E: 9095 / 7921
36. E1/E2 	33858 / 2452	972617 ms 686617/6039 1796-11499-127935	E: 8727 / 7709
37. E1/E2 	34378 / 2411	969629 ms 686292/6053 1872-11292-126202	E: 8598 / 7507
38. E1/E2 	33744 / 2231	960491 ms 684976/6194 1792-10394-116717	E: 8979 / 7874
39. E1/E2 	33699 / 2351	870598 ms 644970/6325 1215-10580-91798	E: 8836 / 7803
40. E1/E2 	33597 / 2294	786720 ms 584007/6400 727-9478-64858	E: 9049 / 7879
41. E1/E2 	33539 / 2308	794213 ms 594815/6555 731-9989-65690	E: 9051 / 7882
42. E1/E2 	32945 / 2374	786831 ms 585434/6457 719-9914-67444	E: 8727 / 7642
43. E1/E2 	33004 / 2338	789968 ms 590048/6349 695-9697-64897	E: 8832 / 7822
44. E1/E2 	33257 / 2281	801330 ms 600644/5513 686-9865-63081	E: 8781 / 7661
45. E1/E2 	33169 / 2325	792437 ms 597753/6140 694-9810-64290	E: 8946 / 7932
46. E1/E2 	32762 / 2221	747092 ms 556213/6065 702-8425-61472	E: 8881 / 7806
47. E1/E2 	32826 / 2274	750130 ms 558645/6080 709-8670-63041	E: 8773 / 7947
48. E1/E2 	32897 / 2146	742141 ms 555167/6041 706-8066-59294	E: 9050 / 7975
49. E1/E2 	32716 / 2256	745409 ms 554607/6091 704-8501-62430	E: 8687 / 7693
50. E1/E2 	32227 / 2307	747740 ms 555362/6074 686-8671-63858	E: 9066 / 8037
51. E1/E2 	32767 / 2154	745665 ms 558634/5440 704-8176-59698	E: 8859 / 7809
52. E1/E2 	32900 / 2103	742678 ms 557055/5430 705-7964-58194	E: 8818 / 7776
53. E1/E2 	32631 / 2130	742884 ms 555918/6081 707-8052-58947	E: 8892 / 7932
54. E1/E2 	32115 / 2219	746731 ms 556548/6075 690-8394-61372	E: 8792 / 7728
55. E1/E2 	32275 / 2144	745684 ms 557676/6097 693-8110-59341	E: 8912 / 7936
56. E1/E2 	32209 / 2094	743336 ms 557324/5922 695-7913-57921	E: 9083 / 7855
57. E1/E2 	31879 / 2073	742346 ms 556860/6056 675-7818-57387	E: 8777 / 7704
58. E1/E2 	31691 / 2075	743112 ms 557647/6075 681-7884-57445	E: 8726 / 7763
59. E1/E2 	32080 / 2196	747246 ms 557695/6093 686-8352-60791	E: 8779 / 7758
60. E1/E2 	31994 / 2010	745690 ms 560101/6104 682-7644-55655	E: 8856 / 7772
61. E1/E2 	31167 / 2095	783660 ms 589074/5569 669-8666-58647	E: 8887 / 7829
62. E1/E2 	31115 / 2080	776878 ms 588277/6314 669-8520-58347	E: 8869 / 7795
63. E1/E2 	31285 / 2023	768307 ms 578457/6151 668-8210-56643	E: 9166 / 8042
64. E1/E2 	31682 / 1948	791269 ms 600232/6376 681-8260-54607	E: 8888 / 7885
65. E1/E2 	31260 / 1965	794667 ms 603734/6318 669-8455-54743	E: 8793 / 7893
66. E1/E2 	32114 / 1941	776820 ms 590289/6248 690-7988-54321	E: 8800 / 7799
67. E1/E2 	31214 / 2005	817471 ms 622805/6621 682-9049-56608	E: 8913 / 7842
