0. E1/E2 	24904 / 3726	137448 ms 115097/419 84-0-586	E: 4547 / 2151
1. E1/E2 	21600 / 2989	139683 ms 118398/409 75-0-479	E: 3047 / 1766
2. E1/E2 	21415 / 2964	143035 ms 120680/448 77-0-489	E: 4765 / 2683
3. E1/E2 	21005 / 2954	145633 ms 123249/468 78-0-493	E: 3043 / 1434
4. E1/E2 	20739 / 2871	142512 ms 121861/441 80-0-480	E: 2778 / 1368
5. E1/E2 	19520 / 2817	141715 ms 121051/422 77-0-478	E: 3330 / 2089
6. E1/E2 	19406 / 2739	144325 ms 123866/472 79-0-467	E: 3334 / 1847
7. E1/E2 	19386 / 2774	350179 ms 277198/649 163-0-581	E: 2625 / 1383
8. E1/E2 	18986 / 2853	511926 ms 448717/803 282-0-700	E: 3162 / 1474
9. E1/E2 	19125 / 2687	362981 ms 310115/789 262-0-683	E: 2915 / 1672
10. E1/E2 	19257 / 2691	491970 ms 417408/766 386-0-662	E: 3541 / 1723
11. E1/E2 	18966 / 2850	520146 ms 446043/794 207-0-696	E: 3342 / 1735
12. E1/E2 	18791 / 2818	499962 ms 429793/858 204-0-689	E: 2712 / 1256
13. E1/E2 	18568 / 2708	492586 ms 419983/802 279-0-663	E: 2782 / 1536
14. E1/E2 	18284 / 2628	512363 ms 436975/826 225-0-641	E: 2534 / 1259
15. E1/E2 	18252 / 2572	159596 ms 140283/432 76-0-422	E: 3658 / 1832
16. E1/E2 	17952 / 2491	134070 ms 114760/411 63-0-408	E: 2701 / 1379
17. E1/E2 	18247 / 2374	139564 ms 117364/388 66-0-398	E: 2564 / 1334
18. E1/E2 	17930 / 2448	139277 ms 119129/397 66-0-412	E: 3453 / 1799
19. E1/E2 	17705 / 2443	145585 ms 123790/463 66-0-414	E: 2301 / 1190
20. E1/E2 	17789 / 2448	322350 ms 247273/585 141-0-489	E: 2549 / 1371
21. E1/E2 	17631 / 2459	366351 ms 346669/695 206-0-539	E: 2683 / 1239
22. E1/E2 	17519 / 2409	131087 ms 111168/393 62-0-380	E: 2557 / 1170
23. E1/E2 	17309 / 2385	137245 ms 117538/401 65-0-401	E: 2298 / 1174
24. E1/E2 	17807 / 2334	427999 ms 351674/687 215-0-519	E: 2726 / 1432
25. E1/E2 	17179 / 2259	522987 ms 446728/828 263-0-558	E: 2219 / 1115
26. E1/E2 	16688 / 2097	477720 ms 404521/767 228-0-497	E: 2533 / 1375
27. E1/E2 	16425 / 2113	484936 ms 454503/860 218-0-528	E: 2750 / 1327
28. E1/E2 	16154 / 2146	228372 ms 208887/504 98-0-387	E: 2457 / 1267
29. E1/E2 	15963 / 2040	132648 ms 113173/393 53-0-310	E: 2312 / 1033
30. E1/E2 	15882 / 1991	141366 ms 119989/405 56-0-322	E: 3107 / 1627
31. E1/E2 	15716 / 1950	143740 ms 122890/443 56-0-324	E: 3074 / 1520
32. E1/E2 	15791 / 1911	203712 ms 184154/519 86-0-347	E: 2029 / 1008
33. E1/E2 	15581 / 1917	162474 ms 118140/422 59-0-325	E: 2601 / 1309
34. E1/E2 	14935 / 1866	317061 ms 246703/651 114-0-369	E: 2453 / 1031
35. E1/E2 	14872 / 1735	503040 ms 428876/823 221-0-437	E: 2486 / 1089
36. E1/E2 	14593 / 1669	515393 ms 441058/884 181-0-412	E: 3272 / 1678
37. E1/E2 	14706 / 1616	146720 ms 127692/416 61-0-262	E: 2333 / 1226
38. E1/E2 	14334 / 1593	136078 ms 114659/387 52-0-261	E: 2053 / 1082
39. E1/E2 	14234 / 1488	139613 ms 118884/403 54-0-255	E: 1823 / 921
40. E1/E2 	13594 / 1377	140263 ms 120932/398 52-0-241	E: 2199 / 1150
41. E1/E2 	13070 / 1381	140970 ms 120240/395 49-0-240	E: 2736 / 1397
42. E1/E2 	12739 / 1329	142811 ms 120493/399 49-0-229	E: 1950 / 918
43. E1/E2 	12778 / 1240	141426 ms 120457/392 46-0-215	E: 2329 / 1298
44. E1/E2 	12315 / 1272	140704 ms 121289/390 45-0-221	E: 1933 / 895
45. E1/E2 	11975 / 1225	142943 ms 121708/395 45-0-216	E: 1656 / 825
46. E1/E2 	11849 / 1190	142133 ms 120234/389 44-0-203	E: 1858 / 985
47. E1/E2 	11556 / 1211	140197 ms 119770/389 43-0-211	E: 1838 / 809
48. E1/E2 	11696 / 1134	140385 ms 120926/387 44-0-199	E: 2453 / 1399
49. E1/E2 	11511 / 1115	141770 ms 121180/390 43-0-196	E: 2327 / 1025
50. E1/E2 	11382 / 1142	141415 ms 119054/387 42-0-198	E: 2250 / 1146
51. E1/E2 	11292 / 1097	140169 ms 119076/384 42-0-189	E: 1951 / 853
52. E1/E2 	11103 / 1085	140748 ms 121030/388 42-0-191	E: 2033 / 1135
53. E1/E2 	11007 / 1108	142825 ms 121668/387 41-0-193	E: 3273 / 1338
54. E1/E2 	11153 / 1083	142860 ms 120292/389 42-0-188	E: 3433 / 1301
55. E1/E2 	10976 / 1016	139929 ms 119970/386 41-0-178	E: 1609 / 882
56. E1/E2 	10882 / 1016	141212 ms 120550/387 41-0-175	E: 1597 / 781
57. E1/E2 	10916 / 1042	141123 ms 119065/384 40-0-181	E: 1636 / 852
58. E1/E2 	11173 / 1001	141193 ms 119772/387 41-0-173	E: 1987 / 932
59. E1/E2 	11022 / 1055	139901 ms 119967/385 41-0-185	E: 1650 / 771
60. E1/E2 	11001 / 1056	139220 ms 119652/382 41-0-186	E: 2138 / 1012
61. E1/E2 	10939 / 1038	141664 ms 121087/387 41-0-185	E: 2556 / 1371
62. E1/E2 	10807 / 1020	141602 ms 119752/384 40-0-176	E: 1724 / 889
63. E1/E2 	10661 / 1017	141436 ms 119886/386 39-0-178	E: 1845 / 933
64. E1/E2 	10598 / 1022	138666 ms 118939/385 39-0-182	E: 2480 / 1471
65. E1/E2 	10497 / 1017	140117 ms 120100/391 39-0-181	E: 1495 / 735
66. E1/E2 	10446 / 973	141248 ms 119954/389 39-0-171	E: 1603 / 816
67. E1/E2 	10531 / 984	140755 ms 119257/388 39-0-169	E: 2188 / 1182
68. E1/E2 	10368 / 990	139782 ms 120064/388 39-0-174	E: 1579 / 835
69. E1/E2 	10279 / 947	140614 ms 120646/385 38-0-166	E: 2114 / 1010
70. E1/E2 	10293 / 1002	141143 ms 119402/381 38-0-176	E: 1556 / 766
71. E1/E2 	10249 / 999	140079 ms 118465/382 38-0-173	E: 1505 / 842
72. E1/E2 	10158 / 950	139475 ms 119197/380 38-0-166	E: 1772 / 806
73. E1/E2 	10379 / 967	139797 ms 120603/389 39-0-171	E: 1980 / 1026
74. E1/E2 	10152 / 932	141276 ms 119804/383 38-0-164	E: 1385 / 714
75. E1/E2 	10216 / 934	439106 ms 364179/761 132-0-223	E: 1737 / 907
76. E1/E2 	10342 / 936	500225 ms 424699/837 172-0-236	E: 2311 / 926
77. E1/E2 	10067 / 924	514429 ms 441050/775 254-0-230	E: 1578 / 697
78. E1/E2 	10044 / 938	521854 ms 445654/766 164-0-237	E: 2050 / 937
79. E1/E2 	10043 / 965	519210 ms 444342/756 143-0-244	E: 1950 / 824
80. E1/E2 	9978 / 918	525067 ms 450055/745 251-0-226	E: 1902 / 978
81. E1/E2 	10133 / 912	521472 ms 445797/764 183-0-230	E: 1573 / 739
82. E1/E2 	10008 / 941	518181 ms 445761/764 174-0-237	E: 1955 / 930
83. E1/E2 	9985 / 931	523389 ms 448844/748 255-0-232	E: 1754 / 796
84. E1/E2 	9860 / 930	519781 ms 444664/770 172-0-232	E: 1980 / 903
85. E1/E2 	9928 / 918	520164 ms 446075/775 133-0-233	E: 1504 / 689
86. E1/E2 	9888 / 882	524064 ms 449611/762 163-0-226	E: 1490 / 679
