0. E1/E2 	22203 / 629	83934,2843 ms 20909/346
1. E1/E2 	16982 / 520	65931,076 ms 23485/394
2. E1/E2 	14377 / 416	46919,5562 ms 22424/364
3. E1/E2 	12881 / 397	83261,0064 ms 22552/371
4. E1/E2 	11684 / 365	60946,315 ms 22414/366
5. E1/E2 	11061 / 287	39286,8201 ms 22422/365
6. E1/E2 	10349 / 287	56704,7665 ms 22344/369
7. E1/E2 	9984 / 296	40433,1046 ms 13027/242
0. E1/E2 	22126 / 639	53421,8291 ms 10898/199
1. E1/E2 	17359 / 461	39820,5627 ms 10770/202
0. E1/E2 	22232 / 625	66397,9152 ms 11302/203
1. E1/E2 	17694 / 501	33796,4962 ms 10672/196
2. E1/E2 	15568 / 421	30547,5055 ms 11197/206
0. E1/E2 	22232 / 625	52762,5746 ms 11104/205
0. E1/E2 	22232 / 625	52567,7179 ms 10938/206
1. E1/E2 	17694 / 501	38029,5424 ms 10854/206
2. E1/E2 	15568 / 421	27200,8335 ms 10730/204
3. E1/E2 	14545 / 393	23870,1138 ms 10569/202
4. E1/E2 	13639 / 361	31998,7495 ms 10618/203
5. E1/E2 	12977 / 340	21825,0672 ms 10416/201
6. E1/E2 	12605 / 329	21314,9358 ms 10449/202
7. E1/E2 	11905 / 317	20808,4441 ms 10443/201
8. E1/E2 	11707 / 310	38585,0783 ms 15721/274
9. E1/E2 	10808 / 308	36398,3699 ms 20522/336
10. E1/E2 	10629 / 265	19517,9483 ms 10551/203
11. E1/E2 	10273 / 279	25240,5177 ms 11670/220
12. E1/E2 	9966 / 211	30556,7776 ms 17362/294
13. E1/E2 	10006 / 240	18589,6396 ms 10567/203
14. E1/E2 	9632 / 277	19701,3193 ms 10591/205
15. E1/E2 	9408 / 258	18968,738 ms 10537/204
16. E1/E2 	9259 / 240	26130,0999 ms 10605/206
17. E1/E2 	9048 / 220	17915,1999 ms 10528/204
18. E1/E2 	9095 / 238	18227,3826 ms 10440/202
19. E1/E2 	8756 / 212	16061,3838 ms 10332/203
20. E1/E2 	8621 / 212	16164,1477 ms 10503/205
21. E1/E2 	8387 / 209	25476,1106 ms 10491/205
22. E1/E2 	8412 / 215	17652,5786 ms 10479/200
23. E1/E2 	8510 / 244	18609,0462 ms 10372/201
24. E1/E2 	8211 / 193	15606,1026 ms 10392/202
25. E1/E2 	8107 / 170	15897,051 ms 10667/208
26. E1/E2 	8001 / 188	22063,2676 ms 10464/207
27. E1/E2 	7890 / 185	16425,7996 ms 10315/202
28. E1/E2 	7982 / 179	16797,0453 ms 10362/202
29. E1/E2 	7779 / 166	16276,222 ms 10384/203
30. E1/E2 	7678 / 163	16400,3051 ms 10442/203
31. E1/E2 	7594 / 169	21073,5386 ms 10447/206
