0. E1/E2 	28172 / 1530	155643,3137 ms 11914/202
1. E1/E2 	15419 / 767	165227,8532 ms 22376/352
2. E1/E2 	12256 / 516	83183,2356 ms 22403/353
3. E1/E2 	10536 / 409	112043,4074 ms 22387/358
4. E1/E2 	9471 / 310	57185,0826 ms 22459/354
5. E1/E2 	8655 / 251	57355,723 ms 22358/352
6. E1/E2 	8143 / 212	46628,5256 ms 22809/364
7. E1/E2 	7637 / 206	58214,7885 ms 22481/357
8. E1/E2 	7142 / 158	57179,1506 ms 22418/362
9. E1/E2 	6860 / 150	44538,4488 ms 22459/356
10. E1/E2 	6317 / 135	37056,0782 ms 22333/353
11. E1/E2 	6198 / 122	42181,253 ms 22386/360
12. E1/E2 	5766 / 89	42089,9213 ms 22410/359
13. E1/E2 	5681 / 98	44152,0572 ms 22371/358
14. E1/E2 	5492 / 77	32109,9063 ms 22340/354
15. E1/E2 	4989 / 73	30651,0661 ms 22373/351
16. E1/E2 	4963 / 65	31306,0417 ms 22794/364
17. E1/E2 	4620 / 55	34226,3184 ms 22183/358
18. E1/E2 	4395 / 40	31361,6436 ms 22420/365
19. E1/E2 	4559 / 38	31108,5158 ms 22420/365
20. E1/E2 	4417 / 41	28917,0833 ms 22283/354
21. E1/E2 	4076 / 46	27736,5425 ms 22350/351
22. E1/E2 	3966 / 26	25677,1945 ms 22277/355
23. E1/E2 	3677 / 21	26785,7343 ms 22379/359
24. E1/E2 	3719 / 26	28273,2057 ms 22338/363
25. E1/E2 	3795 / 31	29433,5176 ms 22303/357
26. E1/E2 	3530 / 29	29037,7885 ms 22418/364
27. E1/E2 	3421 / 28	26773,022 ms 22206/353
28. E1/E2 	3340 / 18	24823,056 ms 22350/356
29. E1/E2 	3431 / 25	25371,9025 ms 22441/354
30. E1/E2 	3044 / 17	25543,9608 ms 22373/358
31. E1/E2 	2826 / 9	24854,6304 ms 22456/364
32. E1/E2 	2816 / 16	26353,3452 ms 22204/358
33. E1/E2 	2791 / 5	23771,7809 ms 22259/359
34. E1/E2 	2743 / 15	25859,4343 ms 22219/361
35. E1/E2 	2394 / 8	23905,8145 ms 22467/360
36. E1/E2 	2474 / 6	23482,8404 ms 22467/356
37. E1/E2 	2343 / 13	24301,6909 ms 22611/359
38. E1/E2 	2289 / 8	23833,1086 ms 22059/349
39. E1/E2 	2225 / 3	23073,5805 ms 21972/349
40. E1/E2 	2046 / 5	23593,4344 ms 22075/353
41. E1/E2 	1916 / 6	23668,0278 ms 22068/354
42. E1/E2 	2050 / 3	23169,4026 ms 22031/352
43. E1/E2 	1867 / 6	23348,6158 ms 22001/349
44. E1/E2 	1876 / 7	23161,6183 ms 22130/350
45. E1/E2 	1910 / 3	23034,0542 ms 22285/353
46. E1/E2 	1723 / 1	22827,8428 ms 22098/347
47. E1/E2 	1675 / 3	23095,1196 ms 22248/361
48. E1/E2 	1493 / 5	23471,121 ms 22513/360
49. E1/E2 	1596 / 0	22809,6048 ms 22261/350
50. E1/E2 	1397 / 1	23118,2461 ms 22532/358
51. E1/E2 	1479 / 0	23238,1168 ms 22678/371
52. E1/E2 	1351 / 1	23333,9553 ms 22580/369
53. E1/E2 	1389 / 4	23795,07 ms 22446/364
54. E1/E2 	1355 / 0	23102,1279 ms 22551/367
55. E1/E2 	1346 / 2	23567,3112 ms 22634/364
56. E1/E2 	1288 / 0	22756,3056 ms 22228/352
57. E1/E2 	1415 / 1	22820,7044 ms 22151/348
58. E1/E2 	1223 / 1	22564,3023 ms 22001/345
59. E1/E2 	1054 / 0	23123,6814 ms 22607/361
60. E1/E2 	901 / 0	22985,2918 ms 22472/363
