0. E1/E2 	18838 / 678	98445,782 ms 38209/553	E: 2923 / 1234
1. E1/E2 	11233 / 321	58202,6833 ms 36685/539	E: 1264 / 564
2. E1/E2 	8745 / 205	52595,5778 ms 37024/540	E: 1722 / 683
3. E1/E2 	7314 / 148	50781,6441 ms 36439/535	E: 1129 / 501
4. E1/E2 	6478 / 112	54951,9319 ms 42788/604	E: 954 / 424
5. E1/E2 	5785 / 76	50706,3176 ms 40214/560	E: 955 / 438
6. E1/E2 	5393 / 47	49843,0882 ms 41044/575	E: 835 / 365
7. E1/E2 	4841 / 38	44481,9183 ms 36254/533	E: 679 / 319
8. E1/E2 	4475 / 44	45043,1486 ms 36877/542	E: 766 / 352
9. E1/E2 	4237 / 27	75510,6774 ms 60916/841	E: 1104 / 412
10. E1/E2 	3817 / 12	84496,8662 ms 71056/986	E: 1075 / 319
11. E1/E2 	3572 / 15	82026,5635 ms 68423/941	E: 1025 / 384
12. E1/E2 	3313 / 9	81419,6244 ms 68174/934	E: 764 / 288
13. E1/E2 	3096 / 14	82053,8518 ms 68458/949	E: 1434 / 461
14. E1/E2 	2891 / 5	81503,0884 ms 67450/922	E: 595 / 253
15. E1/E2 	2675 / 2	80834,5606 ms 68128/941	E: 987 / 354
16. E1/E2 	2568 / 5	84323,786 ms 70398/972	E: 859 / 350
17. E1/E2 	2318 / 3	84523,3818 ms 71442/990	E: 807 / 332
18. E1/E2 	2127 / 5	80433,7841 ms 67732/939	E: 760 / 312
19. E1/E2 	1959 / 2	80722,2301 ms 67994/929	E: 576 / 238
20. E1/E2 	1940 / 0	80743,7333 ms 67931/934	E: 871 / 376
21. E1/E2 	1737 / 0	74340,6687 ms 67097/920	E: 622 / 287
22. E1/E2 	1572 / 0	42917,9041 ms 36159/537	E: 630 / 284
23. E1/E2 	1498 / 0	42892,4894 ms 36192/538	E: 563 / 262
24. E1/E2 	1406 / 2	43121,8027 ms 36287/539	E: 648 / 256
25. E1/E2 	1299 / 1	43152,9736 ms 36359/541	E: 627 / 258
26. E1/E2 	1269 / 0	42806,0955 ms 36099/538	E: 643 / 254
27. E1/E2 	1107 / 0	43077,9554 ms 36326/541	E: 511 / 234
28. E1/E2 	978 / 0	42781,8792 ms 36102/536	E: 673 / 305
29. E1/E2 	904 / 0	42718,5782 ms 35974/538	E: 564 / 235
30. E1/E2 	952 / 0	43016,2098 ms 36293/540	E: 530 / 224
31. E1/E2 	931 / 0	42820,4973 ms 36077/540	E: 560 / 240
32. E1/E2 	797 / 0	42758,9316 ms 36059/538	E: 525 / 238
33. E1/E2 	731 / 2	43076,6259 ms 36247/540	E: 567 / 248
34. E1/E2 	652 / 0	42878,8491 ms 36113/537	E: 601 / 252
35. E1/E2 	607 / 0	42785,7372 ms 36125/535	E: 500 / 230
36. E1/E2 	642 / 0	42476,9293 ms 35816/536	E: 540 / 261
37. E1/E2 	544 / 0	42335,9844 ms 35648/531	E: 597 / 258
38. E1/E2 	561 / 0	42495,276 ms 35857/532	E: 516 / 231
39. E1/E2 	476 / 0	42683,0141 ms 36026/538	E: 543 / 244
40. E1/E2 	389 / 0	42428,6293 ms 35767/533	E: 586 / 267
41. E1/E2 	515 / 0	43286,4649 ms 36566/542	E: 505 / 245
42. E1/E2 	389 / 0	42816,3795 ms 36166/534	E: 500 / 235
43. E1/E2 	236 / 0	42540,0032 ms 35849/533	E: 508 / 230
44. E1/E2 	174 / 0	42715,034 ms 35766/533	E: 500 / 230
45. E1/E2 	194 / 0	42862,2909 ms 36163/534	E: 493 / 232
46. E1/E2 	306 / 0	42250,5815 ms 35641/533	E: 541 / 234
