0. E1/E2 	19234 / 620	95358,0199 ms 38052/522	E: 1218 / 627
1. E1/E2 	12353 / 352	52669,5165 ms 34257/479	E: 1546 / 761
2. E1/E2 	9740 / 196	46630,4503 ms 33990/474	E: 1278 / 673
0. E1/E2 	19027 / 692	96631,5346 ms 35649/516	E: 1196 / 570
1. E1/E2 	11411 / 347	80645,5672 ms 48191/663	E: 2937 / 1051
2. E1/E2 	8724 / 203	93502,4184 ms 65100/858	E: 1178 / 549
3. E1/E2 	7320 / 127	93470,5475 ms 69699/933	E: 850 / 388
4. E1/E2 	6503 / 96	88907,3785 ms 69281/925	E: 862 / 414
5. E1/E2 	5801 / 68	88667,9628 ms 71086/958	E: 697 / 298
6. E1/E2 	5337 / 58	89263,5269 ms 70939/955	E: 911 / 420
7. E1/E2 	4749 / 37	85012,5095 ms 69787/933	E: 873 / 320
8. E1/E2 	4325 / 23	81650,0587 ms 67555/893	E: 977 / 419
9. E1/E2 	4194 / 23	82464,7111 ms 67928/906	E: 630 / 286
10. E1/E2 	3729 / 15	82677,3152 ms 68840/917	E: 702 / 317
11. E1/E2 	3548 / 13	81274,8311 ms 67798/902	E: 641 / 260
12. E1/E2 	3305 / 15	81383,7187 ms 68227/915	E: 694 / 297
13. E1/E2 	2824 / 10	82104,7243 ms 68749/907	E: 649 / 267
14. E1/E2 	2706 / 2	80828,7318 ms 67842/906	E: 1185 / 348
15. E1/E2 	2582 / 5	81034,8206 ms 67551/886	E: 733 / 297
16. E1/E2 	2325 / 4	81926,0666 ms 68977/918	E: 673 / 288
17. E1/E2 	2230 / 4	82641,7022 ms 69576/930	E: 599 / 246
18. E1/E2 	2000 / 2	80281,3329 ms 67975/908	E: 671 / 277
19. E1/E2 	1959 / 1	78346,7183 ms 65536/853	E: 524 / 218
20. E1/E2 	1927 / 2	78056,3273 ms 65669/866	E: 677 / 247
21. E1/E2 	1825 / 0	78819,5339 ms 66641/877	E: 561 / 211
22. E1/E2 	1586 / 2	80261,3587 ms 67726/892	E: 640 / 266
23. E1/E2 	1537 / 1	80661,3681 ms 67495/896	E: 661 / 262
24. E1/E2 	1323 / 0	81240,6719 ms 67748/890	E: 513 / 221
25. E1/E2 	1446 / 0	79719,5007 ms 67141/896	E: 751 / 321
26. E1/E2 	1132 / 0	80101,308 ms 68098/901	E: 630 / 235
27. E1/E2 	1079 / 1	78013,0142 ms 64664/844	E: 641 / 226
28. E1/E2 	1117 / 0	78846,5522 ms 66495/877	E: 553 / 226
29. E1/E2 	918 / 0	80761,8782 ms 68343/903	E: 634 / 270
30. E1/E2 	933 / 0	79582,2553 ms 67329/882	E: 530 / 206
31. E1/E2 	748 / 0	79439,2124 ms 66928/888	E: 563 / 237
32. E1/E2 	693 / 0	79507,3889 ms 66224/873	E: 572 / 242
33. E1/E2 	795 / 0	83162,886 ms 70329/939	E: 538 / 221
34. E1/E2 	593 / 0	83459,3507 ms 70430/953	E: 605 / 254
35. E1/E2 	518 / 0	83219,3917 ms 70449/944	E: 517 / 221
36. E1/E2 	590 / 0	81997,6987 ms 69093/931	E: 547 / 226
37. E1/E2 	574 / 0	83542,4786 ms 70883/949	E: 478 / 199
38. E1/E2 	384 / 0	79475,357 ms 67482/897	E: 526 / 238
39. E1/E2 	463 / 0	77042,4743 ms 65087/854	E: 530 / 230
40. E1/E2 	201 / 0	79275,4715 ms 65848/860	E: 598 / 239
41. E1/E2 	356 / 0	80273,4707 ms 67910/896	E: 518 / 216
42. E1/E2 	260 / 0	79705,9724 ms 67052/891	E: 846 / 278
43. E1/E2 	182 / 0	79766,3276 ms 67539/898	E: 540 / 220
44. E1/E2 	193 / 0	78615,7029 ms 66684/878	E: 556 / 232
45. E1/E2 	62 / 0	77238,619 ms 65302/850	E: 495 / 213
46. E1/E2 	106 / 0	77241,0222 ms 65275/865	E: 489 / 217
47. E1/E2 	136 / 0	77282,6354 ms 65360/861	E: 532 / 219
48. E1/E2 	77 / 0	77195,9037 ms 65304/853	E: 494 / 208
49. E1/E2 	140 / 0	78134,1334 ms 66032/878	E: 488 / 207
50. E1/E2 	122 / 0	76874,2563 ms 64999/850	E: 507 / 209
51. E1/E2 	57 / 0	76818,184 ms 64919/853	E: 493 / 217
52. E1/E2 	105 / 0	76876,8522 ms 65072/858	E: 493 / 210
53. E1/E2 	58 / 0	76154,8593 ms 64167/835	E: 494 / 204
54. E1/E2 	82 / 0	76373,5192 ms 64589/853	E: 500 / 215
55. E1/E2 	106 / 0	77571,4809 ms 65713/861	E: 527 / 241
56. E1/E2 	76 / 0	76655,5511 ms 64837/853	E: 491 / 210
57. E1/E2 	74 / 0	53077,5872 ms 46035/664	E: 484 / 210
58. E1/E2 	33 / 0	46236,1794 ms 38839/582	E: 483 / 211
59. E1/E2 	64 / 0	44997,9364 ms 38543/568	E: 494 / 206
60. E1/E2 	121 / 0	43285,9845 ms 36635/543	E: 487 / 212
61. E1/E2 	36 / 0	40830,338 ms 34418/517	E: 492 / 207
62. E1/E2 	25 / 0	41769,224 ms 35264/527	E: 497 / 210
63. E1/E2 	4 / 0	41544,9342 ms 34611/520	E: 491 / 208
64. E1/E2 	0 / 0	42587,316 ms 36162/534	E: 491 / 208
	FullTime = 5012051,9793 ms 
