0. E1/E2 	19283 / 724	71449,3535 ms 23043/355
1. E1/E2 	11952 / 413	40788,252 ms 23437/363
2. E1/E2 	9588 / 283	34493,3245 ms 23259/363
3. E1/E2 	8267 / 215	31920,9666 ms 23722/368
4. E1/E2 	7540 / 158	29463,9249 ms 23334/366
5. E1/E2 	6966 / 142	28516,4189 ms 23107/355
6. E1/E2 	6369 / 112	27465,7582 ms 23201/358
7. E1/E2 	5912 / 97	27416,3443 ms 23645/372
8. E1/E2 	5524 / 75	26171,1699 ms 23276/367
9. E1/E2 	5119 / 50	25495,9307 ms 23179/365
10. E1/E2 	4842 / 63	26039,1885 ms 23530/370
11. E1/E2 	4629 / 51	25477,1948 ms 23356/362
12. E1/E2 	4518 / 40	24994,8114 ms 23229/356
13. E1/E2 	4072 / 35	24797,7405 ms 23139/354
14. E1/E2 	3973 / 32	24655,0014 ms 23180/365
15. E1/E2 	3598 / 25	24689,6593 ms 23419/370
16. E1/E2 	3772 / 19	24481,0419 ms 23206/365
17. E1/E2 	3389 / 20	24553,3472 ms 23376/370
18. E1/E2 	3318 / 24	24293,2012 ms 23134/360
19. E1/E2 	2989 / 12	24517,1852 ms 23435/365
20. E1/E2 	2982 / 15	24250,2831 ms 23229/362
21. E1/E2 	2957 / 17	24533,7581 ms 23462/371
22. E1/E2 	2770 / 11	24336,1006 ms 23428/368
23. E1/E2 	2653 / 4	24654,159 ms 23933/378
24. E1/E2 	2397 / 5	24989,5039 ms 24198/383
25. E1/E2 	2491 / 7	23560,1228 ms 22805/351
26. E1/E2 	2385 / 5	23558,6202 ms 22855/351
27. E1/E2 	2214 / 5	24374,7447 ms 23656/372
28. E1/E2 	2089 / 4	23693,0516 ms 22962/360
29. E1/E2 	2244 / 3	23584,0824 ms 22936/358
30. E1/E2 	1916 / 5	23680,4857 ms 22963/359
31. E1/E2 	1951 / 0	23688,2638 ms 23103/363
32. E1/E2 	1778 / 3	23810,087 ms 23136/362
33. E1/E2 	1896 / 1	23516,0615 ms 22929/356
34. E1/E2 	1812 / 1	23618,5195 ms 23005/361
35. E1/E2 	1643 / 4	23644,0865 ms 22973/366
36. E1/E2 	1527 / 2	23741,4432 ms 23173/365
37. E1/E2 	1239 / 1	23614,63 ms 23075/362
38. E1/E2 	1564 / 4	23591,0935 ms 22982/364
39. E1/E2 	1445 / 1	23471,9289 ms 22888/367
40. E1/E2 	1188 / 1	23920,5609 ms 23367/372
41. E1/E2 	1168 / 0	23700,4139 ms 23170/365
42. E1/E2 	1275 / 0	23295,7621 ms 22767/355
43. E1/E2 	1098 / 1	23382,5851 ms 22865/351
44. E1/E2 	1081 / 2	23550,8621 ms 23017/357
45. E1/E2 	1004 / 2	23711,2165 ms 23134/360
46. E1/E2 	913 / 0	23344,8608 ms 22838/357
47. E1/E2 	943 / 0	23358,0824 ms 22849/358
48. E1/E2 	784 / 0	23431,1376 ms 22934/359
49. E1/E2 	781 / 0	23846,1956 ms 23339/368
50. E1/E2 	790 / 0	23321,8626 ms 22833/351
51. E1/E2 	806 / 0	23330,8711 ms 22837/353
52. E1/E2 	654 / 0	23394,6702 ms 22912/353
53. E1/E2 	760 / 0	23601,2381 ms 23094/364
54. E1/E2 	823 / 0	23405,5719 ms 22900/363
55. E1/E2 	677 / 0	23431,1677 ms 22940/359
56. E1/E2 	572 / 0	23366,1837 ms 22881/360
57. E1/E2 	524 / 0	23380,7444 ms 22904/353
58. E1/E2 	668 / 0	23325,6088 ms 22843/351
59. E1/E2 	660 / 0	23410,4831 ms 22929/352
60. E1/E2 	477 / 0	23342,5486 ms 22867/359
61. E1/E2 	477 / 0	23414,1489 ms 22938/358
62. E1/E2 	433 / 0	23699,8763 ms 23215/367
63. E1/E2 	385 / 0	23420,7455 ms 22952/357
64. E1/E2 	384 / 0	23513,7727 ms 23044/359
65. E1/E2 	406 / 0	23307,8516 ms 22845/351
66. E1/E2 	349 / 0	23679,4999 ms 23211/358
67. E1/E2 	271 / 0	23566,3025 ms 23100/363
68. E1/E2 	262 / 0	23276,3111 ms 22816/358
69. E1/E2 	315 / 0	23354,1503 ms 22890/358
70. E1/E2 	377 / 0	23661,5947 ms 23184/367
71. E1/E2 	330 / 0	23717,9366 ms 23238/372
72. E1/E2 	332 / 0	23776,7713 ms 23306/362
73. E1/E2 	242 / 0	23473,479 ms 23013/359
74. E1/E2 	134 / 0	23620,1288 ms 23164/362
75. E1/E2 	81 / 0	23629,4391 ms 23166/370
76. E1/E2 	291 / 0	23417,267 ms 22948/362
77. E1/E2 	144 / 0	23363,1446 ms 22906/360
78. E1/E2 	235 / 0	23618,7043 ms 23150/366
79. E1/E2 	172 / 0	23550,4893 ms 23086/365
80. E1/E2 	88 / 0	23377,2608 ms 22932/354
81. E1/E2 	71 / 0	23436,6351 ms 22992/354
82. E1/E2 	95 / 0	23434,8617 ms 22980/362
83. E1/E2 	318 / 0	23460,2244 ms 22986/365
84. E1/E2 	148 / 0	23729,1802 ms 23259/370
85. E1/E2 	142 / 0	24287,6594 ms 23815/375
86. E1/E2 	11 / 0	23946,7764 ms 23495/364
87. E1/E2 	0 / 0	23789,4412 ms 23340/362
	FullTime = 2572105,8551 ms 
