0. E1/E2 	4519 / 175	5711,5243 ms 868/8	P: 0,1112-0,1178-0,4996
1. E1/E2 	3302 / 172	9862,6654 ms 2388/17	P: 0,1112-0,1149-0,2540
2. E1/E2 	2902 / 138	8106,5249 ms 2586/17	P: 0,1112-0,1138-0,2540
3. E1/E2 	2618 / 107	6872,1833 ms 2736/18	P: 0,1112-0,1133-0,1844
4. E1/E2 	2314 / 100	6805,4201 ms 2786/17	P: 0,1112-0,1130-0,1557
5. E1/E2 	2172 / 78	5858,5686 ms 2876/17	P: 0,1112-0,1129-0,1557
6. E1/E2 	2054 / 76	5872,4823 ms 2883/17	P: 0,1112-0,1127-0,1370
7. E1/E2 	1932 / 56	4815,8003 ms 2918/16	P: 0,1112-0,1126-0,1370
8. E1/E2 	1868 / 36	4337,8754 ms 2949/18	P: 0,1112-0,1125-0,1370
9. E1/E2 	1756 / 40	4467,5278 ms 2966/18	P: 0,1112-0,1125-0,1370
10. E1/E2 	1641 / 49	4894,2059 ms 3013/20	P: 0,1112-0,1124-0,1370
11. E1/E2 	1615 / 31	4451,9964 ms 3248/22	P: 0,1112-0,1124-0,1370
12. E1/E2 	1494 / 29	4113,2147 ms 3061/17	P: 0,1112-0,1124-0,1370
13. E1/E2 	1449 / 26	3944,1114 ms 2951/19	P: 0,1112-0,1124-0,1370
14. E1/E2 	1419 / 26	4068,8112 ms 3040/18	P: 0,1112-0,1124-0,1370
15. E1/E2 	1334 / 15	3823,4791 ms 3225/20	P: 0,1112-0,1124-0,1370
16. E1/E2 	1394 / 22	3902,2282 ms 3069/17	P: 0,1112-0,1124-0,1370
17. E1/E2 	1318 / 14	3551,2121 ms 3015/18	P: 0,1112-0,1124-0,1370
18. E1/E2 	1255 / 15	3524,9476 ms 2914/16	P: 0,1112-0,1123-0,1370
19. E1/E2 	1256 / 20	3728,4734 ms 2982/16	P: 0,1112-0,1123-0,1370
20. E1/E2 	1161 / 18	3813,2808 ms 3075/17	P: 0,1112-0,1123-0,1370
21. E1/E2 	1129 / 18	3738,6162 ms 3008/17	P: 0,1112-0,1123-0,1364
22. E1/E2 	1118 / 10	3667,9221 ms 3213/18	P: 0,1112-0,1123-0,1315
23. E1/E2 	1068 / 19	3953,2591 ms 3207/17	P: 0,1112-0,1123-0,1315
24. E1/E2 	1027 / 11	3703,8056 ms 3233/17	P: 0,1112-0,1123-0,1315
25. E1/E2 	997 / 11	3688,2826 ms 3204/17	P: 0,1112-0,1123-0,1315
26. E1/E2 	939 / 10	3699,7056 ms 3263/18	P: 0,1112-0,1123-0,1315
27. E1/E2 	967 / 11	3599,4519 ms 3150/17	P: 0,1112-0,1123-0,1315
28. E1/E2 	953 / 10	3314,3972 ms 3132/15	P: 0,1112-0,1123-0,1315
29. E1/E2 	920 / 10	3609,535 ms 3194/18	P: 0,1112-0,1123-0,1315
30. E1/E2 	862 / 10	3636,587 ms 3213/17	P: 0,1112-0,1123-0,1315
31. E1/E2 	848 / 12	3513,627 ms 3045/19	P: 0,1112-0,1123-0,1315
32. E1/E2 	845 / 7	3505,9319 ms 3219/18	P: 0,1112-0,1122-0,1315
33. E1/E2 	784 / 2	3405,1895 ms 3292/18	P: 0,1112-0,1122-0,1315
34. E1/E2 	737 / 7	3513,2124 ms 3232/18	P: 0,1112-0,1122-0,1315
35. E1/E2 	809 / 4	3365,1274 ms 3180/17	P: 0,1112-0,1122-0,1315
36. E1/E2 	750 / 4	3417,6006 ms 3209/19	P: 0,1112-0,1122-0,1315
37. E1/E2 	635 / 7	3484,9322 ms 3197/17	P: 0,1112-0,1122-0,1315
38. E1/E2 	659 / 3	3537,4002 ms 3450/16	P: 0,1112-0,1122-0,1315
39. E1/E2 	623 / 0	3297,7764 ms 3264/18	P: 0,1112-0,1122-0,1315
40. E1/E2 	616 / 2	3395,5386 ms 3289/17	P: 0,1112-0,1122-0,1315
41. E1/E2 	584 / 3	3425,4989 ms 3306/18	P: 0,1112-0,1122-0,1315
42. E1/E2 	583 / 9	3546,0002 ms 3179/17	P: 0,1112-0,1122-0,1315
43. E1/E2 	567 / 5	3416,99 ms 3211/17	P: 0,1112-0,1122-0,1315
44. E1/E2 	500 / 4	3453,7604 ms 3281/17	P: 0,1112-0,1122-0,1315
45. E1/E2 	461 / 0	3236,719 ms 3205/18	P: 0,1112-0,1122-0,1315
46. E1/E2 	492 / 5	3383,9133 ms 3174/18	P: 0,1112-0,1122-0,1315
47. E1/E2 	435 / 2	3403,5079 ms 3296/20	P: 0,1112-0,1122-0,1315
48. E1/E2 	470 / 1	3210,4301 ms 3163/15	P: 0,1112-0,1122-0,1315
49. E1/E2 	430 / 1	3179,873 ms 3123/17	P: 0,1112-0,1122-0,1315
50. E1/E2 	570 / 1	3289,5145 ms 3215/18	P: 0,1112-0,1122-0,1315
51. E1/E2 	467 / 4	3421,1295 ms 3236/17	P: 0,1112-0,1122-0,1315
52. E1/E2 	442 / 0	3226,2325 ms 3194/18	P: 0,1112-0,1122-0,1315
53. E1/E2 	460 / 3	3393,4915 ms 3250/18	P: 0,1112-0,1122-0,1315
54. E1/E2 	445 / 1	3288,8599 ms 3211/17	P: 0,1112-0,1122-0,1315
55. E1/E2 	436 / 1	3221,4298 ms 3149/18	P: 0,1112-0,1122-0,1315
56. E1/E2 	397 / 0	3298,777 ms 3269/18	P: 0,1112-0,1122-0,1315
57. E1/E2 	368 / 1	3373,6612 ms 3304/17	P: 0,1112-0,1122-0,1315
58. E1/E2 	459 / 0	3296,0752 ms 3264/18	P: 0,1112-0,1122-0,1315
59. E1/E2 	424 / 1	3393,6637 ms 3317/18	P: 0,1112-0,1122-0,1315
60. E1/E2 	357 / 1	3365,1515 ms 3299/18	P: 0,1112-0,1122-0,1315
61. E1/E2 	352 / 0	3315,709 ms 3285/18	P: 0,1112-0,1122-0,1315
62. E1/E2 	353 / 0	3360,8679 ms 3331/18	P: 0,1112-0,1122-0,1315
