0. E1/E2 	4760 / 291	10416,3588 ms 622/718	P: 0,1115-0,1285-0,6167
1. E1/E2 	3608 / 273	14172,3334 ms 1300/1857	P: 0,1112-0,1227-0,4690
2. E1/E2 	3086 / 212	16254,9498 ms 1861/2923	P: 0,1112-0,1208-0,3462
3. E1/E2 	2718 / 164	13736,6865 ms 1911/3164	P: 0,1112-0,1199-0,3462
4. E1/E2 	2607 / 130	11702,3242 ms 1952/3104	P: 0,1112-0,1197-0,3462
5. E1/E2 	2323 / 124	11997,5258 ms 2027/3317	P: 0,1112-0,1190-0,3462
6. E1/E2 	2281 / 139	8887,2848 ms 2076/2071	P: 0,1112-0,1188-0,3462
7. E1/E2 	2158 / 114	11634,2155 ms 2157/3463	P: 0,1112-0,1183-0,2500
8. E1/E2 	2023 / 95	10908,4307 ms 2140/3671	P: 0,1112-0,1182-0,2500
9. E1/E2 	1967 / 79	10360,5048 ms 2189/3762	P: 0,1112-0,1180-0,2500
10. E1/E2 	1830 / 72	10110,2204 ms 2213/3894	P: 0,1112-0,1177-0,2500
11. E1/E2 	1807 / 68	8794,4065 ms 2256/3230	P: 0,1112-0,1175-0,2500
12. E1/E2 	1707 / 56	9490,033 ms 2232/3936	P: 0,1112-0,1174-0,2500
13. E1/E2 	1690 / 62	9573,0083 ms 2239/3894	P: 0,1112-0,1173-0,2500
14. E1/E2 	1680 / 37	8659,4337 ms 2222/4023	P: 0,1112-0,1173-0,2500
15. E1/E2 	1577 / 65	7936,4749 ms 2229/2950	P: 0,1112-0,1173-0,3416
16. E1/E2 	1591 / 51	8802,9709 ms 2258/3765	P: 0,1112-0,1172-0,3536
17. E1/E2 	1539 / 45	8833,1511 ms 2286/3953	P: 0,1112-0,1171-0,3536
18. E1/E2 	1445 / 42	8679,9392 ms 2278/3972	P: 0,1112-0,1171-0,3536
19. E1/E2 	1432 / 48	8934,7946 ms 2293/3977	P: 0,1112-0,1169-0,3536
20. E1/E2 	1353 / 31	7160,5394 ms 2339/3290	P: 0,1112-0,1168-0,3536
21. E1/E2 	1360 / 41	8636,9442 ms 2349/3941	P: 0,1112-0,1167-0,3536
22. E1/E2 	1290 / 38	8299,5118 ms 2251/3837	P: 0,1112-0,1167-0,3536
23. E1/E2 	1269 / 41	8469,5328 ms 2281/3943	P: 0,1112-0,1167-0,3536
24. E1/E2 	1278 / 33	8353,1403 ms 2324/4028	P: 0,1112-0,1167-0,3536
25. E1/E2 	1213 / 27	7107,9716 ms 2349/3310	P: 0,1112-0,1169-0,3694
26. E1/E2 	1181 / 17	7472,7151 ms 2292/3980	P: 0,1112-0,1167-0,3536
27. E1/E2 	1178 / 20	7305,033 ms 2241/3796	P: 0,1112-0,1167-0,3536
28. E1/E2 	1100 / 17	7375,8017 ms 2327/3895	P: 0,1112-0,1167-0,3536
29. E1/E2 	1039 / 31	8135,384 ms 2334/4023	P: 0,1112-0,1166-0,3536
30. E1/E2 	1066 / 17	7395,1481 ms 2342/3917	P: 0,1112-0,1166-0,3536
31. E1/E2 	1005 / 25	7763,4246 ms 2300/3939	P: 0,1112-0,1166-0,3536
32. E1/E2 	1007 / 14	7367,7436 ms 2319/4031	P: 0,1112-0,1165-0,3536
33. E1/E2 	1020 / 16	7567,3475 ms 2343/4100	P: 0,1112-0,1165-0,3536
34. E1/E2 	970 / 13	6660,517 ms 2382/3470	P: 0,1112-0,1165-0,3536
35. E1/E2 	1012 / 9	7031,2751 ms 2303/3920	P: 0,1112-0,1165-0,3536
36. E1/E2 	895 / 15	7154,7429 ms 2340/3841	P: 0,1112-0,1165-0,3536
37. E1/E2 	908 / 14	7198,461 ms 2332/3920	P: 0,1112-0,1165-0,3536
38. E1/E2 	908 / 19	7679,8693 ms 2355/4072	P: 0,1112-0,1164-0,3536
39. E1/E2 	965 / 9	6580,4644 ms 2342/3563	P: 0,1112-0,1164-0,3536
40. E1/E2 	888 / 8	7063,1431 ms 2325/4052	P: 0,1112-0,1164-0,3536
