float p3 = 0.000003f;
float correct3 = 0.00001f;


0. E1/E2 	4595 / 211	6815,8895 ms 827/9	P: 0,1112-0,1200-0,5451
1. E1/E2 	3354 / 183	5261,4368 ms 1127/8	P: 0,1112-0,1156-0,2989
2. E1/E2 	2805 / 141	4279,5342 ms 1244/9	P: 0,1112-0,1145-0,2208
3. E1/E2 	2507 / 122	3835,0941 ms 1258/8	P: 0,1112-0,1147-0,6167
4. E1/E2 	2283 / 98	3319,635 ms 1292/8	P: 0,1112-0,1141-0,4250
5. E1/E2 	2046 / 73	2834,0625 ms 1301/8	P: 0,1112-0,1139-0,4250
6. E1/E2 	1985 / 71	2768,1517 ms 1321/8	P: 0,1112-0,1138-0,4250
7. E1/E2 	1845 / 58	2533,9324 ms 1344/8	P: 0,1112-0,1137-0,4250
8. E1/E2 	1741 / 47	2322,9611 ms 1349/9	P: 0,1112-0,1135-0,2500
9. E1/E2 	1658 / 46	2317,4528 ms 1359/8	P: 0,1112-0,1134-0,2500
10. E1/E2 	1528 / 33	4077,8389 ms 2798/18	P: 0,1112-0,1134-0,2500
11. E1/E2 	1461 / 33	4366,333 ms 2964/16	P: 0,1112-0,1134-0,2500
12. E1/E2 	1431 / 20	3743,2246 ms 2924/16	P: 0,1112-0,1133-0,2500
13. E1/E2 	1360 / 23	3828,5132 ms 2910/16	P: 0,1112-0,1133-0,2500
14. E1/E2 	1270 / 22	3775,4975 ms 2844/17	P: 0,1112-0,1133-0,2500
15. E1/E2 	1286 / 16	3650,8708 ms 2913/16	P: 0,1112-0,1133-0,2500
16. E1/E2 	1193 / 19	3804,1235 ms 2936/16	P: 0,1112-0,1133-0,2500
17. E1/E2 	1167 / 15	3496,3699 ms 2878/16	P: 0,1112-0,1132-0,2500
18. E1/E2 	1113 / 13	1649,4719 ms 1372/8	P: 0,1112-0,1131-0,2086
19. E1/E2 	1056 / 10	1572,2806 ms 1370/8	P: 0,1112-0,1131-0,2086
20. E1/E2 	1012 / 6	1502,0578 ms 1368/8	P: 0,1112-0,1131-0,2086
21. E1/E2 	993 / 14	1645,6103 ms 1366/8	P: 0,1112-0,1131-0,2086
22. E1/E2 	931 / 12	1618,2636 ms 1368/8	P: 0,1112-0,1131-0,2086
23. E1/E2 	973 / 9	1546,9897 ms 1361/8	P: 0,1112-0,1131-0,2086
24. E1/E2 	902 / 6	1511,3841 ms 1380/8	P: 0,1112-0,1130-0,2086
25. E1/E2 	860 / 7	1519,7984 ms 1373/8	P: 0,1112-0,1130-0,2086
26. E1/E2 	815 / 6	1508,9082 ms 1382/8	P: 0,1112-0,1130-0,2086
27. E1/E2 	824 / 6	1499,8872 ms 1371/8	P: 0,1112-0,1130-0,2086
28. E1/E2 	778 / 5	1541,7511 ms 1421/8	P: 0,1112-0,1130-0,2086
29. E1/E2 	720 / 3	1515,3878 ms 1436/9	P: 0,1112-0,1130-0,2086
30. E1/E2 	704 / 3	1504,6107 ms 1424/9	P: 0,1112-0,1130-0,2086
31. E1/E2 	716 / 6	1558,6276 ms 1410/8	P: 0,1112-0,1130-0,2086
32. E1/E2 	659 / 2	1423,2155 ms 1366/8	P: 0,1112-0,1130-0,2086
33. E1/E2 	603 / 4	1462,6618 ms 1373/8	P: 0,1112-0,1130-0,2086
34. E1/E2 	570 / 2	1430,7847 ms 1373/9	P: 0,1112-0,1130-0,2086
35. E1/E2 	570 / 3	1457,012 ms 1385/8	P: 0,1112-0,1130-0,2086
36. E1/E2 	557 / 1	1440,3552 ms 1407/9	P: 0,1112-0,1130-0,2086
37. E1/E2 	544 / 1	1408,3934 ms 1375/8	P: 0,1112-0,1130-0,2086
38. E1/E2 	484 / 5	1485,8928 ms 1371/8	P: 0,1112-0,1130-0,2086
39. E1/E2 	470 / 2	1423,1104 ms 1375/8	P: 0,1112-0,1130-0,2086
40. E1/E2 	498 / 3	1453,8589 ms 1384/8	P: 0,1112-0,1130-0,2086
41. E1/E2 	459 / 0	1378,4259 ms 1366/8	P: 0,1112-0,1130-0,2086
42. E1/E2 	501 / 1	1398,5413 ms 1370/8	P: 0,1112-0,1130-0,2086
43. E1/E2 	425 / 0	1373,1812 ms 1361/8	P: 0,1112-0,1130-0,2086
44. E1/E2 	433 / 1	1399,9203 ms 1370/8	P: 0,1112-0,1130-0,2086
45. E1/E2 	409 / 1	1401,8809 ms 1368/8	P: 0,1112-0,1130-0,2086
46. E1/E2 	399 / 0	1373,8799 ms 1362/8	P: 0,1112-0,1130-0,2086
47. E1/E2 	405 / 1	1454,6322 ms 1420/9	P: 0,1112-0,1130-0,2086
48. E1/E2 	390 / 1	1392,8519 ms 1356/8	P: 0,1112-0,1130-0,2086
49. E1/E2 	398 / 1	1425,286 ms 1392/9	P: 0,1112-0,1130-0,2086
50. E1/E2 	359 / 1	1421,7832 ms 1390/8	P: 0,1112-0,1130-0,2086
51. E1/E2 	346 / 0	1374,3029 ms 1363/8	P: 0,1112-0,1130-0,2086
52. E1/E2 	340 / 0	1376,346 ms 1364/8	P: 0,1112-0,1130-0,2086
53. E1/E2 	354 / 0	1375,2517 ms 1363/8	P: 0,1112-0,1130-0,2086
54. E1/E2 	254 / 0	1378,4514 ms 1366/8	P: 0,1112-0,1130-0,2086
55. E1/E2 	301 / 0	1379,7689 ms 1368/8	P: 0,1112-0,1130-0,2086
56. E1/E2 	248 / 0	1375,5043 ms 1364/8	P: 0,1112-0,1130-0,2086
57. E1/E2 	295 / 0	1381,3139 ms 1369/8	P: 0,1112-0,1130-0,2086
58. E1/E2 	279 / 0	1377,0496 ms 1365/8	P: 0,1112-0,1130-0,2086
59. E1/E2 	284 / 0	1385,8612 ms 1374/8	P: 0,1112-0,1130-0,2086
60. E1/E2 	230 / 0	1376,6609 ms 1365/7	P: 0,1112-0,1130-0,2086
61. E1/E2 	254 / 0	1379,9406 ms 1368/8	P: 0,1112-0,1130-0,2086
62. E1/E2 	215 / 1	1399,8882 ms 1369/8	P: 0,1112-0,1130-0,2086
63. E1/E2 	176 / 0	1377,4379 ms 1366/8	P: 0,1112-0,1130-0,2086
64. E1/E2 	203 / 0	1382,436 ms 1371/8	P: 0,1112-0,1130-0,2086
65. E1/E2 	206 / 0	1378,1978 ms 1366/8	P: 0,1112-0,1130-0,2086
