0. E1/E2 	4594 / 135	12118,1275 ms 3286/24	P: 0,1112-0,1143-0,2544
1. E1/E2 	3282 / 120	16098,1158 ms 6229/34	P: 0,1112-0,1127-0,2000
2. E1/E2 	2651 / 65	5628,5963 ms 3091/16	P: 0,1111-0,1127-0,4250
3. E1/E2 	2291 / 65	5597,3498 ms 3151/16	P: 0,1111-0,1126-0,6167
4. E1/E2 	2082 / 52	5165,3369 ms 3187/16	P: 0,1111-0,1128-1,5067
5. E1/E2 	1837 / 27	4175,3847 ms 3137/15	P: 0,1111-0,1128-1,6063
6. E1/E2 	1671 / 24	4130,1102 ms 3191/16	P: 0,1111-0,1128-1,6063
7. E1/E2 	1580 / 13	3628,1026 ms 3146/15	P: 0,1111-0,1120-0,2393
8. E1/E2 	1518 / 12	3725,4806 ms 3249/17	P: 0,1111-0,1122-0,5184
9. E1/E2 	1411 / 11	3582,2344 ms 3173/16	P: 0,1111-0,1122-0,4543
10. E1/E2 	1212 / 9	3535,4883 ms 3187/16	P: 0,1111-0,1122-0,4533
11. E1/E2 	1085 / 4	3343,4369 ms 3166/16	P: 0,1111-0,1122-0,4533
12. E1/E2 	1037 / 6	3401,0312 ms 3158/15	P: 0,1111-0,1122-0,4214
13. E1/E2 	975 / 1	3223,8065 ms 3166/15	P: 0,1111-0,1123-0,6154
14. E1/E2 	838 / 3	3274,9656 ms 3155/15	P: 0,1111-0,1123-0,6154
15. E1/E2 	823 / 4	3381,2772 ms 3208/15	P: 0,1111-0,1123-0,6154
16. E1/E2 	815 / 0	3220,7304 ms 3197/15	P: 0,1111-0,1123-0,6154
17. E1/E2 	723 / 2	3294,7696 ms 3202/16	P: 0,1111-0,1123-0,6154
18. E1/E2 	655 / 3	3334,0619 ms 3185/16	P: 0,1111-0,1123-0,5667
19. E1/E2 	532 / 1	3255,1556 ms 3194/15	P: 0,1111-0,1122-0,5182
20. E1/E2 	570 / 0	3294,0551 ms 3269/17	P: 0,1111-0,1122-0,5182
21. E1/E2 	518 / 0	3297,4879 ms 3273/17	P: 0,1111-0,1122-0,5182
22. E1/E2 	412 / 1	3346,8029 ms 3283/17	P: 0,1111-0,1122-0,5182
23. E1/E2 	343 / 1	3310,209 ms 3249/16	P: 0,1111-0,1122-0,5182
24. E1/E2 	382 / 0	3343,9224 ms 3320/16	P: 0,1111-0,1122-0,5182
25. E1/E2 	425 / 0	3218,5522 ms 3195/15	P: 0,1111-0,1122-0,5182
26. E1/E2 	333 / 0	3208,9706 ms 3189/14	P: 0,1111-0,1122-0,5182
27. E1/E2 	308 / 0	3301,9404 ms 3279/16	P: 0,1111-0,1122-0,5182
28. E1/E2 	328 / 0	3175,9604 ms 3155/14	P: 0,1111-0,1122-0,5182
29. E1/E2 	280 / 0	3179,1153 ms 3159/14	P: 0,1111-0,1122-0,5182
30. E1/E2 	278 / 0	3183,4101 ms 3163/14	P: 0,1111-0,1122-0,5182
31. E1/E2 	148 / 0	3153,5953 ms 3134/14	P: 0,1111-0,1122-0,5182
32. E1/E2 	133 / 0	3162,2006 ms 3143/14	P: 0,1111-0,1122-0,5182
33. E1/E2 	155 / 0	3181,3325 ms 3161/14	P: 0,1111-0,1122-0,5182
34. E1/E2 	108 / 0	3162,1856 ms 3143/14	P: 0,1111-0,1122-0,5182
35. E1/E2 	80 / 0	3145,0705 ms 3127/14	P: 0,1111-0,1122-0,5182
36. E1/E2 	73 / 0	3185,7065 ms 3167/14	P: 0,1111-0,1122-0,5182
37. E1/E2 	83 / 0	3156,9376 ms 3138/15	P: 0,1111-0,1122-0,5182
38. E1/E2 	10 / 0	3171,9982 ms 3153/14	P: 0,1111-0,1122-0,5182
39. E1/E2 	4 / 0	3157,3571 ms 3138/14	P: 0,1111-0,1122-0,5182
40. E1/E2 	4 / 0	3171,2919 ms 3152/14	P: 0,1111-0,1122-0,5182
41. E1/E2 	17 / 0	3175,1023 ms 3156/14	P: 0,1111-0,1122-0,5182
42. E1/E2 	10 / 0	3152,4289 ms 3134/14	P: 0,1111-0,1122-0,5182
43. E1/E2 	0 / 0	3155,943 ms 3137/14	P: 0,1111-0,1122-0,5182
	FullTime = 1127160,0349 ms 
