0. E1/E2 	18287 / 666	45717,8968 ms 5541/191	E: 1910 / 862
1. E1/E2 	11020 / 377	18429,5724 ms 5203/192	E: 959 / 475
2. E1/E2 	8885 / 264	13973,393 ms 5079/189	E: 1309 / 531
3. E1/E2 	7663 / 216	12603,6036 ms 5167/193	E: 856 / 339
4. E1/E2 	6731 / 160	10481,3202 ms 5006/190	E: 1262 / 526
5. E1/E2 	6247 / 137	9945,1767 ms 5113/196	E: 1239 / 521
6. E1/E2 	5593 / 131	9797,459 ms 5114/195	E: 1550 / 721
7. E1/E2 	5295 / 99	8878,7597 ms 5084/197	E: 1363 / 484
8. E1/E2 	5029 / 86	8379,3972 ms 5051/198	E: 790 / 314
9. E1/E2 	4735 / 73	8291,6602 ms 5191/205	E: 1059 / 468
10. E1/E2 	4360 / 55	7643,8013 ms 5065/204	E: 964 / 409
11. E1/E2 	4252 / 38	7236,8618 ms 5070/207	E: 749 / 324
12. E1/E2 	4045 / 47	7363,4262 ms 5048/203	E: 866 / 386
13. E1/E2 	3888 / 42	7251,4461 ms 5051/201	E: 724 / 320
14. E1/E2 	3677 / 26	6858,2407 ms 5048/212	E: 1241 / 390
15. E1/E2 	3344 / 23	6739,945 ms 5035/211	E: 811 / 368
16. E1/E2 	3345 / 23	6737,2167 ms 5068/212	E: 750 / 322
17. E1/E2 	3121 / 16	6670,9331 ms 5061/213	E: 649 / 307
18. E1/E2 	2929 / 26	6880,2572 ms 5089/212	E: 556 / 254
19. E1/E2 	3071 / 14	6555,2358 ms 5062/213	E: 680 / 296
20. E1/E2 	2669 / 10	6410,6417 ms 5042/207	E: 1354 / 511
21. E1/E2 	2629 / 12	6581,5822 ms 5032/209	E: 1052 / 415
22. E1/E2 	2509 / 11	6939,9492 ms 5497/211	E: 1127 / 373
23. E1/E2 	2398 / 5	6854,5144 ms 5445/201	E: 761 / 302
24. E1/E2 	2335 / 7	6712,151 ms 5382/210	E: 778 / 334
25. E1/E2 	2271 / 5	6727,8838 ms 5322/204	E: 766 / 280
26. E1/E2 	2262 / 6	6642,0737 ms 5334/206	E: 734 / 340
27. E1/E2 	2036 / 2	6763,6571 ms 5433/207	E: 615 / 270
28. E1/E2 	1917 / 2	6597,9799 ms 5346/202	E: 576 / 270
29. E1/E2 	1858 / 5	6627,8657 ms 5322/207	E: 673 / 294
30. E1/E2 	1796 / 5	6604,5612 ms 5286/206	E: 660 / 316
31. E1/E2 	1666 / 0	6949,4591 ms 5740/205	E: 767 / 335
32. E1/E2 	1645 / 2	6572,6769 ms 5341/204	E: 556 / 249
33. E1/E2 	1532 / 0	6527,1597 ms 5351/197	E: 1055 / 362
34. E1/E2 	1504 / 0	6419,9988 ms 5259/196	E: 698 / 304
35. E1/E2 	1344 / 1	6380,7236 ms 5211/197	E: 588 / 260
36. E1/E2 	1293 / 0	6195,0948 ms 5068/196	E: 750 / 303
37. E1/E2 	1283 / 1	6384,5992 ms 5197/197	E: 571 / 266
38. E1/E2 	1131 / 0	6338,7518 ms 5172/196	E: 555 / 262
39. E1/E2 	1121 / 0	6432,1768 ms 5249/194	E: 627 / 274
40. E1/E2 	961 / 1	6401,7173 ms 5230/196	E: 621 / 294
41. E1/E2 	1068 / 1	6613,0923 ms 5393/199	E: 659 / 299
42. E1/E2 	956 / 0	6457,3548 ms 5295/196	E: 635 / 293
43. E1/E2 	876 / 2	6467,2809 ms 5258/205	E: 603 / 276
44. E1/E2 	912 / 2	6362,3879 ms 5175/204	E: 723 / 327
45. E1/E2 	925 / 0	6211,0189 ms 5061/196	E: 588 / 268
46. E1/E2 	707 / 0	6302,0829 ms 5153/196	E: 700 / 318
47. E1/E2 	751 / 1	6554,4452 ms 5353/204	E: 606 / 270
48. E1/E2 	816 / 0	6313,8858 ms 5190/195	E: 565 / 250
49. E1/E2 	480 / 1	6316,6884 ms 5150/194	E: 543 / 258
50. E1/E2 	583 / 0	6264,5893 ms 5146/195	E: 556 / 257
51. E1/E2 	625 / 0	6169,0503 ms 5062/196	E: 598 / 273
52. E1/E2 	541 / 0	6532,5824 ms 5392/198	E: 558 / 260
53. E1/E2 	502 / 0	6535,909 ms 5299/200	E: 540 / 263
54. E1/E2 	471 / 0	6601,4059 ms 5489/200	E: 613 / 289
55. E1/E2 	576 / 0	6180,6903 ms 5049/196	E: 552 / 253
56. E1/E2 	602 / 0	6307,5971 ms 5176/198	E: 554 / 249
57. E1/E2 	364 / 0	6265,329 ms 5121/197	E: 531 / 257
58. E1/E2 	346 / 0	6168,4068 ms 5062/194	E: 545 / 253
59. E1/E2 	349 / 0	6143,1166 ms 5035/194	E: 565 / 265
60. E1/E2 	437 / 0	6156,7261 ms 5043/195	E: 568 / 244
61. E1/E2 	430 / 0	6462,7492 ms 5280/198	E: 537 / 244
62. E1/E2 	365 / 0	6140,6659 ms 5038/193	E: 537 / 249
63. E1/E2 	385 / 0	6150,4982 ms 5027/193	E: 631 / 269
64. E1/E2 	291 / 0	6103,4864 ms 5011/191	E: 769 / 318
65. E1/E2 	247 / 0	6038,6681 ms 4955/192	E: 544 / 247
66. E1/E2 	280 / 0	5960,4301 ms 4883/192	E: 654 / 288
67. E1/E2 	289 / 0	5990,5651 ms 4908/191	E: 555 / 252
68. E1/E2 	299 / 0	6083,2632 ms 4955/194	E: 537 / 246
69. E1/E2 	257 / 0	5985,3558 ms 4898/195	E: 541 / 248
70. E1/E2 	80 / 0	5996,4731 ms 4914/194	E: 542 / 251
71. E1/E2 	112 / 0	6010,6395 ms 4930/193	E: 540 / 252
72. E1/E2 	221 / 0	6101,3245 ms 5015/193	E: 570 / 268
73. E1/E2 	214 / 0	5950,5508 ms 4879/190	E: 550 / 254
74. E1/E2 	113 / 0	5949,4145 ms 4875/191	E: 545 / 251
75. E1/E2 	143 / 0	6001,2901 ms 4929/191	E: 550 / 255
76. E1/E2 	236 / 0	5953,8042 ms 4879/192	E: 535 / 246
77. E1/E2 	48 / 0	5988,8383 ms 4905/190	E: 546 / 244
78. E1/E2 	51 / 0	6001,17 ms 4911/190	E: 548 / 246
79. E1/E2 	135 / 0	6128,3206 ms 5032/195	E: 557 / 257
80. E1/E2 	93 / 0	6006,8107 ms 4923/190	E: 543 / 254
81. E1/E2 	92 / 0	5999,6046 ms 4907/194	E: 550 / 255
82. E1/E2 	141 / 0	6013,9331 ms 4918/193	E: 543 / 251
83. E1/E2 	77 / 0	5978,6367 ms 4883/195	E: 549 / 253
84. E1/E2 	95 / 0	5982,7206 ms 4897/192	E: 547 / 251
85. E1/E2 	44 / 0	5971,3664 ms 4893/192	E: 543 / 252
86. E1/E2 	28 / 0	5996,2699 ms 4904/192	E: 543 / 251
87. E1/E2 	2 / 0	5991,0614 ms 4904/190	E: 543 / 254
88. E1/E2 	151 / 0	5961,7064 ms 4883/190	E: 544 / 254
89. E1/E2 	6 / 0	5974,7565 ms 4881/193	E: 543 / 254
90. E1/E2 	18 / 0	6063,0691 ms 4970/193	E: 546 / 256
91. E1/E2 	35 / 0	6023,1999 ms 4945/191	E: 541 / 253
92. E1/E2 	8 / 0	5948,4845 ms 4881/190	E: 545 / 254
93. E1/E2 	10 / 0	5994,7274 ms 4919/191	E: 552 / 259
94. E1/E2 	75 / 0	6000,7771 ms 4920/191	E: 550 / 254
95. E1/E2 	20 / 0	6023,5703 ms 4937/195	E: 548 / 253
96. E1/E2 	6 / 0	5994,9919 ms 4922/193	E: 548 / 254
97. E1/E2 	10 / 0	6005,0038 ms 4919/194	E: 550 / 253
98. E1/E2 	14 / 0	5951,0747 ms 4874/193	E: 552 / 253
99. E1/E2 	10 / 0	6112,3183 ms 5026/194	E: 545 / 256
100. E1/E2 	2 / 0	6007,3272 ms 4935/192	E: 546 / 256
101. E1/E2 	8 / 0	6045,5831 ms 4966/192	E: 545 / 254
102. E1/E2 	86 / 0	5956,3395 ms 4868/190	E: 548 / 255
103. E1/E2 	10 / 0	5960,297 ms 4871/192	E: 546 / 254
104. E1/E2 	16 / 0	5956,8584 ms 4861/191	E: 545 / 255
105. E1/E2 	0 / 0	5970,1623 ms 4887/191	E: 545 / 255
	FullTime = 766689,2008 ms 
