0. E1/E2 	20148 / 1066	146248,5184 ms 74033/1412
1. E1/E2 	11882 / 553	98222,91 ms 72203/1408
2. E1/E2 	9241 / 330	87815,7396 ms 71893/1404
3. E1/E2 	8000 / 240	83069,6762 ms 71363/1406
4. E1/E2 	7054 / 192	80970,2962 ms 71356/1411
5. E1/E2 	6443 / 149	79194,8876 ms 71306/1403
6. E1/E2 	5949 / 112	77712,8113 ms 71512/1408
7. E1/E2 	5583 / 102	76693,2542 ms 70828/1406
8. E1/E2 	5166 / 98	76519,7488 ms 70860/1405
9. E1/E2 	4900 / 78	76297,9513 ms 71391/1409
10. E1/E2 	4691 / 60	75180,4938 ms 71084/1404
11. E1/E2 	4552 / 51	109021,759 ms 103840/1832
12. E1/E2 	4120 / 36	99556,2964 ms 95772/1739
13. E1/E2 	3909 / 40	74315,8385 ms 71079/1402
14. E1/E2 	3890 / 35	74365,3498 ms 71289/1406
15. E1/E2 	3610 / 27	74023,7667 ms 71287/1407
16. E1/E2 	3449 / 37	73930,8633 ms 70766/1403
17. E1/E2 	3321 / 16	73029,6889 ms 70802/1402
18. E1/E2 	3272 / 15	73396,2997 ms 71177/1405
19. E1/E2 	3145 / 15	72902,3933 ms 70614/1403
20. E1/E2 	2911 / 16	72764,4477 ms 70426/1400
21. E1/E2 	2836 / 12	72134,7422 ms 70055/1397
22. E1/E2 	2662 / 9	72051,2888 ms 70038/1399
23. E1/E2 	2557 / 0	71975,1435 ms 70372/1404
24. E1/E2 	2475 / 8	71875,3674 ms 69995/1395
25. E1/E2 	2424 / 8	72079,7611 ms 70160/1395
26. E1/E2 	2465 / 4	71642,3441 ms 69923/1394
27. E1/E2 	2201 / 2	71552,0681 ms 69909/1399
28. E1/E2 	2136 / 4	72410,4246 ms 70664/1402
29. E1/E2 	2154 / 3	72156,4268 ms 70437/1397
30. E1/E2 	2040 / 3	72907,3103 ms 71206/1401
31. E1/E2 	1834 / 3	71956,7469 ms 70257/1395
32. E1/E2 	1934 / 3	71745,298 ms 70063/1397
33. E1/E2 	1877 / 3	72243,7269 ms 70543/1396
34. E1/E2 	1786 / 2	71687,1526 ms 70029/1402
35. E1/E2 	1653 / 1	71590,8357 ms 70007/1395
36. E1/E2 	1513 / 4	71537,3981 ms 69828/1397
37. E1/E2 	1631 / 1	71752,3928 ms 70171/1397
38. E1/E2 	1439 / 0	71963,2694 ms 70425/1400
39. E1/E2 	1485 / 2	71967,5946 ms 70341/1400
40. E1/E2 	1368 / 0	72094,6269 ms 70561/1398
41. E1/E2 	1437 / 1	71707,8418 ms 70136/1397
42. E1/E2 	1403 / 2	71592,7217 ms 70002/1397
43. E1/E2 	1372 / 0	71881,2598 ms 70342/1403
44. E1/E2 	1193 / 0	71601,634 ms 70077/1399
45. E1/E2 	1279 / 1	71651,2285 ms 70070/1399
46. E1/E2 	1040 / 0	72027,959 ms 70518/1394
47. E1/E2 	1107 / 1	72581,3096 ms 71014/1405
48. E1/E2 	995 / 1	72629,7558 ms 71073/1403
49. E1/E2 	960 / 0	72130,2121 ms 70614/1404
50. E1/E2 	815 / 0	72189,5103 ms 70679/1407
51. E1/E2 	906 / 0	71919,1243 ms 70410/1401
52. E1/E2 	865 / 0	72082,3984 ms 70572/1405
