		float p3 = 0.0000001f;
		float correct3 = 0.00001f;


0. E1/E2 	24443 / 2010	859284,564 ms 75693/867	E: 3555 / 1955
1. E1/E2 	19514 / 1966	887894,3264 ms 78473/894	E: 3294 / 2165
2. E1/E2 	18058 / 1711	784184,8718 ms 78041/889	E: 2512 / 1734
3. E1/E2 	17169 / 1586	696457,5894 ms 74929/854	E: 2526 / 1606
4. E1/E2 	16609 / 1476	367762,0594 ms 47245/554	E: 3489 / 2198
5. E1/E2 	16252 / 1460	364258,4063 ms 47399/555	E: 3081 / 1797
6. E1/E2 	15924 / 1398	349972,178 ms 46839/551	E: 2440 / 1529
7. E1/E2 	15552 / 1318	332498,6801 ms 46577/548	E: 2426 / 1525
8. E1/E2 	15344 / 1337	336596,5049 ms 46737/551	E: 3006 / 1781
9. E1/E2 	15179 / 1295	327460,9375 ms 46486/549	E: 3351 / 2019
10. E1/E2 	15007 / 1246	316986,45 ms 46615/548	E: 2115 / 1498
11. E1/E2 	14796 / 1286	325538,5239 ms 46655/550	E: 3181 / 1680
12. E1/E2 	14641 / 1219	311499,3431 ms 46503/550	E: 3377 / 2560
13. E1/E2 	14663 / 1187	304730,798 ms 46484/548	E: 2558 / 1753
14. E1/E2 	14711 / 1245	317168,2233 ms 46702/550	E: 2844 / 1885
15. E1/E2 	14686 / 1191	305451,2465 ms 46367/548	E: 2391 / 1499
16. E1/E2 	14649 / 1217	311152,9372 ms 46576/548	E: 2683 / 1701
17. E1/E2 	14564 / 1189	305415,9425 ms 46555/547	E: 2255 / 1663
18. E1/E2 	14504 / 1201	307635,1537 ms 46335/547	E: 3665 / 2539
19. E1/E2 	14343 / 1134	293859,228 ms 46692/547	E: 3810 / 2705
20. E1/E2 	14062 / 1189	305104,9174 ms 46346/546	E: 2442 / 1508
21. E1/E2 	14215 / 1144	295440,4781 ms 46194/549	E: 2573 / 1622
22. E1/E2 	14050 / 1120	290594,6412 ms 46312/549	E: 2656 / 1692
23. E1/E2 	14126 / 1097	285672,4882 ms 46171/548	E: 2057 / 1437
24. E1/E2 	14103 / 1107	287817,6485 ms 46108/549	E: 3154 / 2081
25. E1/E2 	13938 / 1129	292525,6009 ms 46177/549	E: 2598 / 1488
26. E1/E2 	14096 / 1087	283727,2189 ms 46227/550	E: 2162 / 1424
27. E1/E2 	13996 / 1125	291738,4261 ms 46302/551	E: 3449 / 2085
28. E1/E2 	13892 / 1110	289180,6622 ms 46624/552	E: 3925 / 2693
29. E1/E2 	13895 / 1145	296167,6884 ms 46407/550	E: 2595 / 1542
30. E1/E2 	13925 / 1144	296056,5415 ms 46601/550	E: 2201 / 1484
31. E1/E2 	14012 / 1117	292648,0442 ms 46455/552	E: 2718 / 1939
32. E1/E2 	13830 / 1077	281649,567 ms 46235/547	E: 2312 / 1551
33. E1/E2 	14003 / 1045	274515,5503 ms 46096/548	E: 3179 / 2206
34. E1/E2 	13824 / 1123	291067,4503 ms 46083/547	E: 2501 / 1579
35. E1/E2 	13784 / 1062	278720,1095 ms 46382/551	E: 3005 / 1903
36. E1/E2 	13907 / 1123	291344,3914 ms 46314/551	E: 2965 / 1586
37. E1/E2 	13729 / 1149	296865,4456 ms 46246/548	E: 2214 / 1403
38. E1/E2 	13910 / 1153	297761,7546 ms 46473/550	E: 3862 / 2472
39. E1/E2 	13696 / 1091	284570,4774 ms 46370/549	E: 2839 / 2027
40. E1/E2 	13766 / 1040	273687,9302 ms 46092/546	E: 2420 / 1788
41. E1/E2 	13948 / 1099	286478,3685 ms 46336/551	E: 2499 / 1806
42. E1/E2 	13672 / 1100	288579,2972 ms 47680/556	E: 2541 / 1764
43. E1/E2 	13667 / 1128	292261,8106 ms 46255/549	E: 2711 / 1931
44. E1/E2 	13733 / 1135	294512,9008 ms 46808/552	E: 2775 / 1845
45. E1/E2 	13665 / 1114	289697,2345 ms 46454/551	E: 2200 / 1578
46. E1/E2 	13818 / 1136	294273,7636 ms 46532/550	E: 2253 / 1678
47. E1/E2 	13695 / 1137	294900,3362 ms 46733/552	E: 3559 / 2198
48. E1/E2 	13604 / 1129	292610,74 ms 46431/550	E: 2259 / 1403
49. E1/E2 	13764 / 1142	295524,3226 ms 46361/548	E: 2384 / 1719
50. E1/E2 	13784 / 1142	295496,466 ms 46437/551	E: 3032 / 1885
