0. E1/E2 	39410 / 12001	26799 ms 14439/301 478-7372-1864	E: 4834 / 3241
1. E1/E2 	30788 / 5999	20961 ms 13678/274 338-3521-823	E: 5169 / 3605
2. E1/E2 	29624 / 5661	20493 ms 13698/274 368-3376-414	E: 4807 / 3412
3. E1/E2 	28906 / 5505	20497 ms 13752/271 342-3261-520	E: 5824 / 3578
4. E1/E2 	28159 / 5330	20954 ms 13661/266 328-3145-1238	E: 4771 / 2736
5. E1/E2 	27773 / 5216	20017 ms 13642/267 349-3105-309	E: 4301 / 2767
6. E1/E2 	27176 / 5049	20516 ms 13860/267 317-3007-727	E: 3737 / 2413
7. E1/E2 	26830 / 4925	20258 ms 13778/263 314-2908-627	E: 6196 / 3644
8. E1/E2 	26513 / 4912	26026 ms 15942/291 530-3711-428	E: 3990 / 2550
9. E1/E2 	26609 / 4930	44573 ms 27952/483 2020-8491-879	E: 4431 / 2939
10. E1/E2 	26471 / 4956	43935 ms 27247/481 2044-8543-884	E: 4755 / 2968
11. E1/E2 	26279 / 4907	44726 ms 27640/484 2037-8581-1077	E: 4355 / 2880
12. E1/E2 	26049 / 4819	44881 ms 27700/477 2005-8390-1292	E: 5019 / 2963
13. E1/E2 	25624 / 4851	47105 ms 31278/514 1379-7617-1008	E: 3910 / 2741
14. E1/E2 	25485 / 4687	43937 ms 27833/488 1919-8001-1026	E: 3823 / 2345
15. E1/E2 	25148 / 4511	43746 ms 27320/475 1941-7809-1518	E: 4204 / 2467
16. E1/E2 	24706 / 4475	43086 ms 27282/471 1899-7732-845	E: 3685 / 2317
17. E1/E2 	24393 / 4332	43098 ms 27492/469 1871-7525-1085	E: 4071 / 2865
18. E1/E2 	24006 / 4345	42401 ms 27097/464 1855-7508-842	E: 3492 / 2391
19. E1/E2 	24026 / 4272	42573 ms 27053/467 1874-7448-879	E: 3815 / 2380
20. E1/E2 	23965 / 4346	42382 ms 27105/474 1897-7640-653	E: 4719 / 2519
21. E1/E2 	23908 / 4233	42161 ms 27318/463 1863-7409-432	E: 4993 / 3659
22. E1/E2 	23675 / 4210	41888 ms 27547/468 1763-7156-224	E: 4008 / 2603
23. E1/E2 	23567 / 4188	43447 ms 27485/468 1832-7365-1307	E: 3838 / 2339
24. E1/E2 	23327 / 4114	44254 ms 30899/497 1220-6306-607	E: 4662 / 2965
25. E1/E2 	23269 / 4124	41784 ms 27179/468 1792-7160-438	E: 4703 / 2666
26. E1/E2 	23111 / 4119	42430 ms 26924/462 1829-7267-1320	E: 4323 / 2613
27. E1/E2 	23003 / 4119	42003 ms 26970/460 1812-7213-897	E: 3784 / 2692
28. E1/E2 	22750 / 4003	42454 ms 27441/466 1729-6945-1075	E: 3378 / 2143
29. E1/E2 	22748 / 4003	41685 ms 26916/454 1789-7022-883	E: 3685 / 2370
30. E1/E2 	22731 / 4078	41386 ms 27135/463 1770-7117-223	E: 3496 / 2167
31. E1/E2 	22630 / 4041	41545 ms 27275/467 1746-7018-434	E: 4071 / 2369
32. E1/E2 	22630 / 4013	41642 ms 27078/462 1780-7024-663	E: 3659 / 2347
33. E1/E2 	22528 / 4027	42127 ms 27335/458 1724-6988-887	E: 4331 / 2585
34. E1/E2 	22588 / 3907	41474 ms 27448/461 1712-6790-428	E: 3257 / 2051
35. E1/E2 	22470 / 3917	42065 ms 26907/461 1767-6871-1335	E: 3501 / 2281
36. E1/E2 	22342 / 3937	42031 ms 27548/471 1685-6768-870	E: 4157 / 2206
37. E1/E2 	22096 / 3851	41265 ms 27104/459 1681-6636-650	E: 3716 / 2406
38. E1/E2 	22089 / 3813	43335 ms 29892/485 1339-6134-796	E: 3673 / 2171
39. E1/E2 	22061 / 3904	42449 ms 27449/465 1681-6724-1527	E: 3909 / 2631
