0. E1/E2 	25730 / 2329 (1,0000)	749991 ms 356268/4364 2289-31252-289987	E: 3132 / 1955
1. E1/E2 	21622 / 2455 (1,0000)	800814 ms 362909/4576 2076-33571-332018	E: 3332 / 1910
2. E1/E2 	20486 / 2385 (1,0000)	783724 ms 357237/4432 1981-32071-322799	E: 2739 / 1846
3. E1/E2 	19683 / 2285 (1,0000)	768440 ms 357614/4438 1913-30884-308918	E: 3403 / 2100
4. E1/E2 	19170 / 2165 (1,0000)	751388 ms 358053/4424 1847-29468-292893	E: 3231 / 1900
5. E1/E2 	18704 / 2172 (1,0000)	755171 ms 357662/4416 1809-29541-293616	E: 3247 / 1923
6. E1/E2 	18122 / 2021 (1,0000)	727434 ms 358439/4402 1718-27753-269908	E: 3345 / 2301
7. E1/E2 	17892 / 1964 (1,0000)	722557 ms 358996/4423 1673-27095-264522	E: 3042 / 2212
8. E1/E2 	17760 / 1954 (1,0000)	722117 ms 360685/4457 1662-27109-262725	E: 2844 / 1902
9. E1/E2 	17396 / 1899 (1,0000)	705481 ms 358115/4398 1630-26122-255224	E: 3979 / 2287
10. E1/E2 	17165 / 1864 (1,0000)	699740 ms 357732/4338 1594-25648-244136	E: 2332 / 1624
11. E1/E2 	16854 / 1771 (1,0000)	697618 ms 363399/4498 1562-24906-237761	E: 2767 / 1727
12. E1/E2 	16578 / 1767 (1,0000)	694894 ms 360530/4447 1550-24552-237765	E: 3198 / 2076
0. E1/E2 	16934 / 1882 (1,0000)	642221 ms 362013/4463 1604-26224-247581	E: 0 / 0
1. E1/E2 	16546 / 1884 (1,0000)	643967 ms 357312/4385 1635-25874-254446	E: 0 / 0
2. E1/E2 	16271 / 1771 (1,0000)	640361 ms 368619/4606 1545-25014-240243	E: 0 / 0
3. E1/E2 	16034 / 1779 (1,0000)	651449 ms 377186/4783 1501-26140-241503	E: 0 / 0
4. E1/E2 	15903 / 1754 (1,0000)	629770 ms 361621/4472 1523-24427-237406	E: 0 / 0
5. E1/E2 	15566 / 1694 (1,0000)	617876 ms 359257/4409 1509-23319-229061	E: 0 / 0
6. E1/E2 	15317 / 1693 (1,0000)	534906 ms 337518/3426 1286-22492-169927	E: 0 / 0
7. E1/E2 	15236 / 1636 (1,0000)	445123 ms 303127/2290 1201-20560-117760	E: 0 / 0
8. E1/E2 	14972 / 1591 (1,0000)	433530 ms 296103/2226 1212-19651-114158	E: 0 / 0
9. E1/E2 	15089 / 1592 (1,0000)	430685 ms 293677/2184 1221-19561-113865	E: 0 / 0
10. E1/E2 	14787 / 1558 (1,0000)	435138 ms 300012/2255 1210-19415-112061	E: 0 / 0
11. E1/E2 	14668 / 1526 (1,0000)	431237 ms 299016/2261 1198-18952-109626	E: 0 / 0
12. E1/E2 	14537 / 1503 (1,0000)	426015 ms 296142/2224 1195-18581-107692	E: 0 / 0
13. E1/E2 	14552 / 1482 (1,0000)	429008 ms 300335/2278 1196-18421-106594	E: 0 / 0
14. E1/E2 	14509 / 1420 (1,0000)	424707 ms 301242/2298 1162-17751-102068	E: 0 / 0
15. E1/E2 	14444 / 1412 (1,0000)	422351 ms 299424/2271 1194-17496-101781	E: 0 / 0
16. E1/E2 	14476 / 1371 (1,0000)	418127 ms 298857/2267 1181-17034-98604	E: 0 / 0
17. E1/E2 	14463 / 1399 (1,0000)	417902 ms 296575/2235 1186-17345-100381	E: 0 / 0
18. E1/E2 	14527 / 1293 (1,0000)	417698 ms 304482/2336 1121-16313-93256	E: 0 / 0
19. E1/E2 	14399 / 1373 (1,0000)	430287 ms 309963/2374 1079-17409-99264	E: 0 / 0
20. E1/E2 	14335 / 1336 (1,0000)	419698 ms 303012/2302 1125-16744-96326	E: 0 / 0
21. E1/E2 	14382 / 1322 (1,0000)	424142 ms 308252/2327 1053-16759-95552	E: 0 / 0
22. E1/E2 	14238 / 1284 (1,0000)	414556 ms 302469/2312 1106-16040-92441	E: 0 / 0
23. E1/E2 	14232 / 1292 (1,0000)	420282 ms 307943/2307 1005-16294-92546	E: 0 / 0
24. E1/E2 	13983 / 1216 (1,0000)	410479 ms 304267/2301 1043-15129-87548	E: 0 / 0
25. E1/E2 	13983 / 1279 (1,0000)	434118 ms 321147/2453 993-16408-92907	E: 0 / 0
26. E1/E2 	13901 / 1159 (1,0000)	414099 ms 311740/2386 1009-14758-84007	E: 0 / 0
27. E1/E2 	13858 / 1213 (1,0000)	417478 ms 310903/2392 1026-15358-87601	E: 0 / 0
28. E1/E2 	13920 / 1179 (1,0000)	413640 ms 309995/2397 1024-15010-85018	E: 0 / 0
29. E1/E2 	13864 / 1180 (1,0000)	401146 ms 298238/2258 1119-14532-84817	E: 0 / 0
30. E1/E2 	13701 / 1151 (1,0000)	395487 ms 295260/2228 1106-14196-82517	E: 0 / 0
31. E1/E2 	13605 / 1184 (1,0000)	396744 ms 293935/2220 1108-14470-84834	E: 0 / 0
32. E1/E2 	13566 / 1137 (1,0000)	401781 ms 302183/2329 1066-14204-81811	E: 0 / 0
33. E1/E2 	13478 / 1119 (1,0000)	384278 ms 287204/2143 1156-13567-80036	E: 0 / 0
34. E1/E2 	13521 / 1121 (1,0000)	393669 ms 295693/2221 1120-13823-80630	E: 0 / 0
35. E1/E2 	13464 / 1127 (1,0000)	396024 ms 297684/2247 1089-13876-80945	E: 0 / 0
36. E1/E2 	13370 / 1093 (1,0000)	401674 ms 305846/2335 1026-13678-78598	E: 0 / 0
37. E1/E2 	13247 / 1077 (1,0000)	388237 ms 294548/2190 1059-13173-77090	E: 0 / 0
38. E1/E2 	13090 / 1111 (1,0000)	394603 ms 297823/2244 1036-13730-79589	E: 0 / 0
