0 - 56140 	loss=1014,1215909421444
1 - 42127 	loss=974,5531173348427
2 - 34829 	loss=926,7161371707916
3 - 29815 	loss=881,3623791486025
4 - 26478 	loss=838,4098443388939
5 - 23743 	loss=795,6958473473787
6 - 21912 	loss=757,6870135068893
7 - 20674 	loss=723,8999021798372
8 - 19568 	loss=693,2082009911537
9 - 18495 	loss=663,8025770485401
10 - 17373 	loss=634,3622145652771
11 - 16465 	loss=608,648994833231
12 - 15764 	loss=585,436822488904
13 - 15018 	loss=563,7385646849871
14 - 14358 	loss=542,6580036133528
15 - 13633 	loss=522,3999068811536
16 - 12992 	loss=503,19304245710373
17 - 12344 	loss=483,75575165450573
18 - 11661 	loss=464,75351509451866
19 - 11065 	loss=447,306090131402
20 - 10570 	loss=431,2002954483032
21 - 10102 	loss=415,7261950671673
22 - 9553 	loss=399,9077569954097
23 - 9205 	loss=388,311098780483
24 - 8691 	loss=372,3965995684266
25 - 8311 	loss=361,42302809655666
26 - 7904 	loss=347,45025680959225
27 - 7530 	loss=335,728623829782
28 - 7171 	loss=324,0156964585185
29 - 6806 	loss=312,1247911248356
30 - 6422 	loss=299,7272995021194
31 - 6262 	loss=290,020735334605
32 - 5815 	loss=276,5615745410323
33 - 5528 	loss=267,56463659740984
34 - 5256 	loss=257,49585869535804
35 - 4967 	loss=248,1259184461087
36 - 4733 	loss=238,85110420919955
37 - 4477 	loss=229,33605717867613
38 - 4221 	loss=219,919537701644
39 - 3951 	loss=210,2989416345954
40 - 3724 	loss=201,93081490974873
41 - 3490 	loss=193,30074030719697
42 - 3210 	loss=184,75654962286353
43 - 2982 	loss=176,55638802517205
44 - 2802 	loss=168,8733849246055
45 - 2644 	loss=161,7308726347983
46 - 2432 	loss=154,40873407712206
47 - 2312 	loss=148,18949754163623
48 - 2158 	loss=141,84723888151348
49 - 1995 	loss=135,79154424834996
50 - 1850 	loss=129,77475648373365
51 - 1696 	loss=123,93864321848378
52 - 1559 	loss=118,376769204624
53 - 1440 	loss=113,0370283133816
54 - 1354 	loss=107,95264794700779
55 - 1249 	loss=103,0760582673829
56 - 1171 	loss=98,40582627081312
57 - 1077 	loss=93,9142032561358
58 - 1014 	loss=89,59423418785445
59 - 936 	loss=85,42762216948904
60 - 861 	loss=81,46728764974978
61 - 784 	loss=77,70894311682787
62 - 729 	loss=74,14517486095428
63 - 667 	loss=70,74124124087393
64 - 609 	loss=67,48566712730099
65 - 566 	loss=64,33479558757972
66 - 522 	loss=61,294562405731995
67 - 485 	loss=58,35855704580899
