0 - 5370 - 700327,1542 ms
1 - 2927 - 6552,3842 ms
2 - 2353 - 6470,2841 ms
3 - 2064 - 6458,6881 ms
4 - 1785 - 6449,3313 ms
5 - 1652 - 6465,9234 ms
6 - 1563 - 6467,6641 ms
7 - 1470 - 6483,6676 ms
8 - 1398 - 6467,9095 ms
9 - 1301 - 6447,155 ms
10 - 1310 - 6450,1427 ms
11 - 1180 - 6447,327 ms
12 - 1126 - 6468,1974 ms
13 - 1151 - 6481,0099 ms
14 - 1040 - 6477,0241 ms
15 - 1033 - 6462,4057 ms
16 - 1043 - 6459,7224 ms
17 - 972 - 6461,2663 ms
18 - 887 - 6454,5806 ms
19 - 918 - 6491,0379 ms
20 - 861 - 6452,4546 ms
21 - 872 - 6438,1849 ms
22 - 850 - 6482,2826 ms
23 - 810 - 6466,7745 ms
24 - 768 - 6448,3186 ms
25 - 730 - 6458,3816 ms
26 - 788 - 6457,7204 ms
27 - 718 - 6450,7059 ms
28 - 635 - 6455,1309 ms
29 - 720 - 6476,5124 ms
30 - 665 - 6448,7012 ms
31 - 679 - 6465,4897 ms
32 - 653 - 6470,3959 ms
33 - 586 - 6476,3626 ms
34 - 640 - 6451,4852 ms
35 - 649 - 6469,2636 ms
36 - 593 - 6456,6973 ms
37 - 604 - 6441,3985 ms
38 - 560 - 6500,6729 ms
39 - 596 - 6496,6085 ms
40 - 542 - 6469,3551 ms
41 - 586 - 6464,4346 ms
42 - 563 - 6464,7326 ms
43 - 498 - 6452,2319 ms
44 - 517 - 6464,1878 ms
45 - 559 - 6456,4901 ms
46 - 539 - 6443,9774 ms
47 - 567 - 6456,9913 ms
48 - 504 - 6477,3435 ms
49 - 480 - 6482,3042 ms
50 - 481 - 6514,3398 ms
51 - 450 - 6473,2275 ms
52 - 464 - 6461,6788 ms
53 - 526 - 6467,5923 ms
54 - 483 - 6465,6541 ms
55 - 485 - 6465,0187 ms
56 - 431 - 6489,7487 ms
57 - 448 - 6465,032 ms
58 - 478 - 6459,7658 ms
59 - 418 - 6495,4933 ms
60 - 391 - 6532,973 ms
61 - 379 - 6454,4509 ms
62 - 414 - 6500,9434 ms
63 - 391 - 6465,4017 ms
64 - 386 - 6466,705 ms
65 - 417 - 6481,7429 ms
66 - 395 - 6466,487 ms
67 - 394 - 6461,1991 ms
68 - 360 - 6474,3695 ms
69 - 372 - 6511,7414 ms
70 - 343 - 6574,2692 ms
71 - 309 - 6492,8103 ms
72 - 351 - 6483,911 ms
73 - 350 - 6465,5072 ms
74 - 322 - 6482,827 ms
75 - 344 - 6462,8806 ms
76 - 336 - 6451,5769 ms
77 - 351 - 6520,3496 ms
78 - 323 - 6460,5028 ms
79 - 282 - 6501,4033 ms
80 - 290 - 6479,3695 ms
81 - 350 - 6463,4543 ms
82 - 320 - 6485,9839 ms
83 - 279 - 6442,4127 ms
84 - 333 - 6513,7152 ms
85 - 324 - 6436,6555 ms
86 - 312 - 6473,2353 ms
87 - 293 - 6459,8427 ms
88 - 305 - 6461,3538 ms
89 - 311 - 6496,9544 ms
90 - 316 - 6502,3942 ms
91 - 293 - 6462,7304 ms
92 - 273 - 6439,8609 ms
93 - 288 - 6463,7575 ms
94 - 292 - 6484,7658 ms
95 - 294 - 6472,5441 ms
96 - 239 - 6460,1347 ms
97 - 249 - 6466,4539 ms
98 - 233 - 6473,1008 ms
99 - 272 - 6484,4297 ms
100 - 255 - 6498,7452 ms
101 - 250 - 6492,7885 ms
102 - 262 - 6444,3119 ms
103 - 247 - 6508,2843 ms
104 - 233 - 6446,6342 ms
105 - 237 - 6482,0849 ms
106 - 186 - 6499,6144 ms
107 - 247 - 6492,7141 ms
108 - 283 - 6508,5165 ms
109 - 227 - 6472,1697 ms
110 - 206 - 6508,1374 ms
111 - 234 - 6483,7771 ms
112 - 250 - 6480,2598 ms
113 - 220 - 6474,771 ms
114 - 234 - 6494,5811 ms
115 - 232 - 6476,5425 ms
116 - 242 - 6463,468 ms
117 - 260 - 6457,7463 ms
118 - 235 - 6499,778 ms
119 - 218 - 6450,4244 ms
120 - 215 - 6497,718 ms
121 - 248 - 6483,8242 ms
122 - 247 - 6483,4531 ms
123 - 219 - 6484,4154 ms
124 - 254 - 6445,6067 ms
125 - 219 - 6482,8175 ms
126 - 201 - 6491,7434 ms
127 - 192 - 6508,3076 ms
128 - 191 - 6482,6237 ms
129 - 159 - 6452,3942 ms
130 - 197 - 6540,869 ms
131 - 203 - 6491,0935 ms
132 - 198 - 6498,4149 ms
133 - 197 - 6481,2386 ms
134 - 154 - 6450,8062 ms
135 - 192 - 6483,1003 ms
136 - 204 - 6464,532 ms
137 - 166 - 6505,606 ms
138 - 186 - 6482,8336 ms
139 - 196 - 6460,9023 ms
140 - 196 - 6480,9972 ms
141 - 205 - 6561,4552 ms
142 - 194 - 6466,5756 ms
143 - 165 - 6477,9652 ms
144 - 135 - 6478,9667 ms
145 - 145 - 6479,0062 ms
146 - 201 - 6468,8069 ms
147 - 161 - 6497,6293 ms
148 - 157 - 6484,1948 ms
149 - 142 - 6499,594 ms
150 - 186 - 6449,0444 ms
151 - 173 - 6549,3291 ms
152 - 188 - 6477,3433 ms
153 - 157 - 6471,7779 ms
154 - 199 - 6508,4679 ms
155 - 159 - 6490,4294 ms
156 - 122 - 6483,4184 ms
157 - 192 - 6480,8928 ms
158 - 127 - 6491,7392 ms
159 - 150 - 6474,7222 ms
160 - 155 - 6485,7635 ms
161 - 151 - 6519,8144 ms
162 - 148 - 6507,8012 ms
163 - 152 - 6488,3947 ms
164 - 159 - 6516,8307 ms
