0. E1/E2 	1930 / 279	65,8496 ms 11/7	P: 0,5000-0,5224-1,0000
1. E1/E2 	1585 / 172	53,6797 ms 13/11	P: 0,5000-0,5463-1,0000
2. E1/E2 	1383 / 185	65,4582 ms 15/12	P: 0,5000-0,5556-1,0000
3. E1/E2 	1061 / 124	46,6888 ms 14/12	P: 0,5000-0,5785-1,0000
4. E1/E2 	896 / 73	42,3074 ms 14/12	P: 0,5000-0,5929-1,0000
5. E1/E2 	686 / 56	35,6223 ms 13/12	P: 0,5000-0,6007-1,0000
6. E1/E2 	906 / 95	41,552 ms 14/12	P: 0,5000-0,5926-1,0000
7. E1/E2 	1119 / 233	58,5996 ms 14/12	P: 0,5000-0,5818-1,0000
8. E1/E2 	429 / 26	31,8571 ms 14/12	P: 0,5000-0,6099-1,0000
9. E1/E2 	351 / 15	29,6035 ms 13/12	P: 0,5000-0,6090-1,0000
10. E1/E2 	422 / 23	31,3379 ms 14/12	P: 0,5000-0,6061-1,0000
11. E1/E2 	358 / 26	30,1255 ms 13/12	P: 0,5000-0,6077-1,0000
12. E1/E2 	321 / 16	31,6418 ms 15/12	P: 0,5000-0,6109-1,0000
13. E1/E2 	230 / 12	28,1975 ms 14/12	P: 0,5000-0,6170-1,0000
14. E1/E2 	292 / 22	29,19 ms 13/11	P: 0,5000-0,6136-1,0000
15. E1/E2 	491 / 65	34,8569 ms 13/11	P: 0,5000-0,6089-1,0000
16. E1/E2 	560 / 67	37,37 ms 13/12	P: 0,5000-0,6134-1,0000
17. E1/E2 	1102 / 320	66,8137 ms 14/11	P: 0,5000-0,5952-1,0000
18. E1/E2 	592 / 92	37,92 ms 13/11	P: 0,5000-0,6232-1,0000
19. E1/E2 	354 / 26	30,3726 ms 14/11	P: 0,5000-0,6259-1,0000
20. E1/E2 	238 / 7	27,0785 ms 14/11	P: 0,5000-0,6299-1,0000
21. E1/E2 	348 / 19	29,0614 ms 13/11	P: 0,5000-0,6294-1,0000
22. E1/E2 	295 / 22	28,5339 ms 13/11	P: 0,5000-0,6298-1,0000
23. E1/E2 	257 / 19	27,6755 ms 12/11	P: 0,5000-0,6281-1,0000
24. E1/E2 	201 / 11	28,3011 ms 14/11	P: 0,5000-0,6295-1,0000
25. E1/E2 	171 / 10	26,4659 ms 13/11	P: 0,5000-0,6313-1,0000
26. E1/E2 	189 / 5	25,3408 ms 12/11	P: 0,5000-0,6328-1,0000
27. E1/E2 	178 / 5	25,7362 ms 13/11	P: 0,5000-0,6330-1,0000
28. E1/E2 	210 / 17	29,7586 ms 14/12	P: 0,5000-0,6317-1,0000
29. E1/E2 	188 / 12	26,1063 ms 13/11	P: 0,5000-0,6351-1,0000
30. E1/E2 	177 / 13	27,6036 ms 14/11	P: 0,5000-0,6328-1,0000
31. E1/E2 	158 / 7	25,306 ms 12/11	P: 0,5000-0,6329-1,0000
32. E1/E2 	156 / 6	25,4119 ms 13/10	P: 0,5000-0,6328-1,0000
33. E1/E2 	129 / 5	24,6667 ms 12/10	P: 0,5000-0,6331-1,0000
34. E1/E2 	106 / 3	24,8197 ms 13/11	P: 0,5000-0,6331-1,0000
