0. E1/E2 	1925 / 296	56,3909 ms 
	AN: 92	R: 3974/71	P: 0,4893-0,5021-0,5186
1. E1/E2 	1643 / 204	30,9636 ms 
	AN: 87	R: 4096/112	P: 0,4800-0,5018-0,5200
2. E1/E2 	1415 / 164	30,3273 ms 
	AN: 87	R: 4087/128	P: 0,4785-0,5033-0,5293
3. E1/E2 	885 / 65	22,3939 ms 
	AN: 91	R: 4096/134	P: 0,4653-0,5095-0,5347
4. E1/E2 	1216 / 225	30,5398 ms 
	AN: 107	R: 4096/146	P: 0,4868-0,5202-0,5879
5. E1/E2 	545 / 27	18,6863 ms 
	AN: 103	R: 4096/150	P: 0,4531-0,5483-0,6284
6. E1/E2 	462 / 12	19,6398 ms 
	AN: 99	R: 4096/148	P: 0,4312-0,5508-0,6367
7. E1/E2 	529 / 24	19,3919 ms 
	AN: 101	R: 4096/151	P: 0,4868-0,5358-0,6089
8. E1/E2 	625 / 50	21,4751 ms 
	AN: 101	R: 4096/153	P: 0,4526-0,5060-0,5356
9. E1/E2 	1057 / 154	27,8837 ms 
	AN: 115	R: 4096/158	P: 0,4824-0,5178-0,5571
10. E1/E2 	742 / 64	22,8196 ms 
	AN: 112	R: 4096/165	P: 0,4639-0,5085-0,5581
11. E1/E2 	760 / 120	24,2051 ms 
	AN: 115	R: 4096/168	P: 0,4775-0,5085-0,5371
12. E1/E2 	1277 / 321	36,1653 ms 
	AN: 131	R: 4096/182	P: 0,4775-0,5118-0,5571
13. E1/E2 	516 / 41	19,6652 ms 
	AN: 122	R: 4096/183	P: 0,4741-0,5281-0,6084
14. E1/E2 	335 / 14	20,306 ms 
	AN: 122	R: 4096/182	P: 0,4741-0,5866-0,6460
15. E1/E2 	369 / 12	17,7755 ms 
	AN: 123	R: 4096/182	P: 0,4868-0,5833-0,6484
16. E1/E2 	314 / 11	18,4872 ms 
	AN: 123	R: 4096/181	P: 0,4624-0,5884-0,6523
17. E1/E2 	213 / 6	17,3563 ms 
	AN: 123	R: 4096/178	P: 0,4883-0,5984-0,6519
18. E1/E2 	197 / 4	18,2102 ms 
	AN: 122	R: 4096/176	P: 0,4932-0,6053-0,6909
19. E1/E2 	226 / 8	17,6057 ms 
	AN: 122	R: 4096/179	P: 0,4575-0,6002-0,6558
20. E1/E2 	363 / 21	19,6238 ms 
	AN: 122	R: 4096/182	P: 0,4932-0,5803-0,6426
21. E1/E2 	360 / 23	18,5664 ms 
	AN: 122	R: 4096/182	P: 0,4897-0,5876-0,6450
22. E1/E2 	316 / 17	19,2977 ms 
	AN: 122	R: 4096/182	P: 0,4980-0,5835-0,6357
23. E1/E2 	230 / 6	17,4148 ms 
	AN: 123	R: 4096/179	P: 0,4844-0,5949-0,6528
24. E1/E2 	198 / 4	22,0927 ms 
	AN: 122	R: 4096/178	P: 0,4951-0,5995-0,6538
25. E1/E2 	185 / 7	17,644 ms 
	AN: 122	R: 4096/181	P: 0,4814-0,5965-0,6519
26. E1/E2 	243 / 7	18,8223 ms 
	AN: 122	R: 4096/179	P: 0,4790-0,6017-0,6611
27. E1/E2 	237 / 2	18,0672 ms 
	AN: 122	R: 4096/176	P: 0,4932-0,6016-0,6519
28. E1/E2 	312 / 15	20,0964 ms 
	AN: 122	R: 4096/181	P: 0,4600-0,5814-0,6577
29. E1/E2 	303 / 13	18,57 ms 
	AN: 124	R: 4096/181	P: 0,4951-0,5704-0,6509
30. E1/E2 	321 / 24	19,2581 ms 
	AN: 124	R: 4096/183	P: 0,4863-0,5477-0,6055
31. E1/E2 	363 / 26	19,1107 ms 
	AN: 124	R: 4096/184	P: 0,4902-0,5313-0,5840
32. E1/E2 	308 / 18	19,0474 ms 
	AN: 124	R: 4096/183	P: 0,4883-0,5467-0,6025
33. E1/E2 	260 / 11	16,6849 ms 
	AN: 124	R: 4096/180	P: 0,4932-0,6015-0,7109
34. E1/E2 	341 / 29	18,6214 ms 
	AN: 126	R: 4096/184	P: 0,4912-0,5285-0,5630
35. E1/E2 	287 / 14	17,7633 ms 
	AN: 125	R: 4096/181	P: 0,4961-0,5860-0,6445
36. E1/E2 	211 / 5	17,4042 ms 
	AN: 125	R: 4096/179	P: 0,4995-0,6014-0,6519
37. E1/E2 	369 / 42	19,1649 ms 
	AN: 125	R: 4096/184	P: 0,4912-0,5637-0,6084
38. E1/E2 	469 / 23	19,5896 ms 
	AN: 126	R: 4096/184	P: 0,4863-0,5492-0,6040
39. E1/E2 	468 / 38	19,5081 ms 
	AN: 126	R: 4096/185	P: 0,4780-0,5357-0,5850
