0. E1/E2 	1658 / 167	93,6818 ms 26/21	P: 0,5000-0,5151-0,8000
1. E1/E2 	940 / 72	69,0663 ms 22/24	P: 0,5000-0,5454-1,0000
2. E1/E2 	492 / 28	59,8681 ms 24/24	P: 0,5000-0,5584-1,0000
3. E1/E2 	429 / 18	54,7216 ms 22/24	P: 0,5000-0,5669-1,0000
4. E1/E2 	283 / 4	51,5881 ms 23/24	P: 0,5000-0,5725-1,0000
5. E1/E2 	259 / 6	79,8471 ms 37/35	P: 0,5000-0,5718-1,0000
6. E1/E2 	642 / 121	121,5809 ms 37/38	P: 0,5000-0,5602-1,0000
7. E1/E2 	659 / 155	117,3298 ms 34/31	P: 0,5000-0,5744-1,0000
8. E1/E2 	216 / 19	71,0486 ms 33/29	P: 0,5000-0,5895-1,0000
9. E1/E2 	131 / 8	69,0349 ms 32/32	P: 0,5000-0,5948-1,0000
10. E1/E2 	71 / 1	66,8115 ms 33/31	P: 0,5000-0,5978-1,0000
11. E1/E2 	73 / 8	59,8697 ms 31/25	P: 0,5000-0,5964-1,0000
12. E1/E2 	73 / 2	66,0887 ms 33/30	P: 0,5000-0,5978-1,0000
13. E1/E2 	47 / 0	36,8476 ms 19/17	P: 0,5000-0,5980-1,0000
14. E1/E2 	40 / 0	35,2511 ms 17/17	P: 0,5000-0,5980-1,0000
15. E1/E2 	35 / 1	40,0624 ms 21/18	P: 0,5000-0,5980-1,0000
16. E1/E2 	37 / 1	36,6146 ms 19/17	P: 0,5000-0,5980-1,0000
17. E1/E2 	11 / 0	36,7642 ms 19/17	P: 0,5000-0,5980-1,0000
18. E1/E2 	20 / 0	35,2924 ms 18/17	P: 0,5000-0,5980-1,0000
19. E1/E2 	7 / 1	38,9683 ms 21/17	P: 0,5000-0,5980-1,0000
20. E1/E2 	5 / 1	58,0443 ms 30/26	P: 0,5000-0,5980-1,0000
21. E1/E2 	8 / 0	56,6747 ms 31/25	P: 0,5000-0,5980-1,0000
22. E1/E2 	9 / 1	65,13 ms 31/33	P: 0,5000-0,5980-1,0000
23. E1/E2 	13 / 1	64,0311 ms 34/28	P: 0,5000-0,5980-1,0000
24. E1/E2 	15 / 0	60,0802 ms 30/28	P: 0,5000-0,5980-1,0000
25. E1/E2 	1 / 1	65,8003 ms 34/30	P: 0,5000-0,5980-1,0000
26. E1/E2 	1 / 1	58,6478 ms 32/25	P: 0,5000-0,5980-1,0000
27. E1/E2 	1 / 1	56,2353 ms 30/25	P: 0,5000-0,5980-1,0000
28. E1/E2 	1 / 1	57,5643 ms 31/25	P: 0,5000-0,5980-1,0000
29. E1/E2 	1 / 1	61,7764 ms 33/28	P: 0,5000-0,5980-1,0000
30. E1/E2 	0 / 0	65,2152 ms 31/32	P: 0,5000-0,5980-1,0000
	FullTime = 326574,6094 ms 
