	AN: 110	R: 4015/84	P: 0,4531-0,4952-0,5225
	AN: 112	R: 4096/132	P: 0,4033-0,4759-0,5522
	AN: 112	R: 4096/151	P: 0,3823-0,4666-0,5669
	AN: 117	R: 4096/158	P: 0,3818-0,4637-0,5400
	AN: 114	R: 4096/161	P: 0,3506-0,4902-0,5840
	AN: 117	R: 4096/160	P: 0,3657-0,5329-0,6245
	AN: 125	R: 4096/166	P: 0,3604-0,4914-0,6719
	AN: 144	R: 4096/178	P: 0,3770-0,4720-0,6001
	AN: 139	R: 4096/174	P: 0,3999-0,5081-0,6362
	AN: 136	R: 4096/173	P: 0,3960-0,5001-0,6094
	AN: 138	R: 4096/176	P: 0,4292-0,5329-0,7402
	AN: 136	R: 4096/177	P: 0,4878-0,5751-0,7710
	AN: 137	R: 4096/177	P: 0,4448-0,5431-0,7261
	AN: 137	R: 4096/175	P: 0,3833-0,4823-0,7222
	AN: 139	R: 4096/177	P: 0,3906-0,5272-0,7188
	AN: 142	R: 4096/181	P: 0,3936-0,5391-0,6772
	AN: 140	R: 4096/183	P: 0,3633-0,5381-0,6431
	AN: 152	R: 4096/189	P: 0,3521-0,4818-0,5889
	AN: 148	R: 4096/189	P: 0,3638-0,5275-0,6436
	AN: 143	R: 4096/185	P: 0,2812-0,5465-0,6499
	AN: 143	R: 4096/182	P: 0,1675-0,4863-0,6377
	AN: 144	R: 4096/184	P: 0,2153-0,4980-0,6221
	AN: 145	R: 4096/185	P: 0,2427-0,5255-0,6250
	AN: 146	R: 4096/185	P: 0,3555-0,5301-0,6157
	AN: 146	R: 4096/184	P: 0,3711-0,5193-0,6367
	AN: 147	R: 4096/184	P: 0,3574-0,4863-0,5850
	AN: 147	R: 4096/183	P: 0,3330-0,4654-0,6113
	AN: 147	R: 4096/183	P: 0,3203-0,4577-0,5527
	AN: 147	R: 4096/184	P: 0,2949-0,4761-0,5820
	AN: 147	R: 4096/184	P: 0,2578-0,4772-0,6021
	AN: 146	R: 4096/184	P: 0,2593-0,4644-0,6113
	AN: 146	R: 4096/184	P: 0,2671-0,4776-0,5806
	AN: 146	R: 4096/184	P: 0,2197-0,4747-0,5884
	AN: 146	R: 4096/184	P: 0,2056-0,4576-0,5654
	AN: 146	R: 4096/183	P: 0,2051-0,4475-0,5654
	AN: 146	R: 4096/183	P: 0,1909-0,4475-0,5654
	AN: 146	R: 4096/183	P: 0,1865-0,4474-0,5674
	AN: 146	R: 4096/183	P: 0,1245-0,4299-0,5796
	AN: 146	R: 4096/183	P: 0,1245-0,4304-0,5513
	AN: 146	R: 4096/183	P: 0,1367-0,4318-0,5615
	AN: 146	R: 4096/184	P: 0,1396-0,4288-0,5645
	AN: 146	R: 4096/184	P: 0,1353-0,4291-0,5630
	AN: 146	R: 4096/183	P: 0,1265-0,4223-0,5479
	AN: 146	R: 4096/184	P: 0,1548-0,4385-0,5718
	AN: 146	R: 4096/183	P: 0,1724-0,4255-0,5483
	AN: 146	R: 4096/183	P: 0,1724-0,4255-0,5483
	AN: 146	R: 4096/183	P: 0,1982-0,4559-0,5825
	AN: 147	R: 4096/183	P: 0,1929-0,4515-0,6211
	AN: 147	R: 4096/183	P: 0,2129-0,4627-0,6211
	AN: 147	R: 4096/183	P: 0,2129-0,4628-0,6211
	AN: 147	R: 4096/183	P: 0,2080-0,4465-0,6104
	AN: 147	R: 4096/183	P: 0,2197-0,4459-0,6157
	AN: 147	R: 4096/183	P: 0,2124-0,4475-0,6040
	AN: 147	R: 4096/183	P: 0,2119-0,4388-0,5552
	AN: 147	R: 4096/183	P: 0,2119-0,4419-0,5571
	AN: 147	R: 4096/183	P: 0,2119-0,4386-0,5649
	AN: 147	R: 4096/183	P: 0,2119-0,4384-0,5601
	AN: 148	R: 4096/183	P: 0,2163-0,4680-0,5962
	AN: 148	R: 4096/183	P: 0,2188-0,4777-0,6035
	AN: 148	R: 4096/183	P: 0,2188-0,4777-0,6035
	AN: 148	R: 4096/183	P: 0,2188-0,4771-0,6035
	AN: 148	R: 4096/183	P: 0,2188-0,4784-0,6035
	AN: 148	R: 4096/183	P: 0,2188-0,4755-0,6035
	AN: 148	R: 4096/183	P: 0,2188-0,4755-0,6035
	AN: 148	R: 4096/183	P: 0,2188-0,4755-0,6035
	AN: 148	R: 4096/183	P: 0,2188-0,4825-0,6348
	AN: 148	R: 4096/183	P: 0,2188-0,4893-0,6245
	AN: 148	R: 4096/183	P: 0,2188-0,4833-0,6650
	AN: 148	R: 4096/183	P: 0,2188-0,5019-0,6304
	AN: 148	R: 4096/183	P: 0,2119-0,4914-0,6201
	AN: 148	R: 4096/183	P: 0,2026-0,4777-0,6055
	AN: 148	R: 4096/183	P: 0,2217-0,4939-0,6577
	AN: 148	R: 4096/183	P: 0,2163-0,4889-0,6123
	AN: 148	R: 4096/183	P: 0,2222-0,5285-0,7012
	AN: 148	R: 4096/183	P: 0,2812-0,5666-0,7104
	AN: 148	R: 4096/183	P: 0,3105-0,6010-0,7354
	AN: 148	R: 4096/183	P: 0,3105-0,6010-0,7354
	AN: 148	R: 4096/183	P: 0,3105-0,6010-0,7354
	AN: 148	R: 4096/183	P: 0,3105-0,6010-0,7354
	AN: 148	R: 4096/183	P: 0,3105-0,6010-0,7354
	AN: 148	R: 4096/183	P: 0,3105-0,6010-0,7354
	AN: 148	R: 4096/184	P: 0,3008-0,5821-0,7275
	AN: 148	R: 4096/183	P: 0,3105-0,6010-0,7354
	AN: 148	R: 4096/183	P: 0,2969-0,5910-0,7285
	AN: 148	R: 4096/183	P: 0,2842-0,5974-0,7354
	AN: 148	R: 4096/183	P: 0,2842-0,5974-0,7354
	AN: 148	R: 4096/183	P: 0,2666-0,5587-0,7007
	AN: 148	R: 4096/183	P: 0,2720-0,5785-0,7241
	AN: 148	R: 4096/183	P: 0,2559-0,5416-0,6602
	AN: 148	R: 4096/184	P: 0,2485-0,5240-0,6519
	AN: 148	R: 4096/183	P: 0,2393-0,5338-0,6499
	AN: 148	R: 4096/183	P: 0,2378-0,5403-0,6602
	AN: 148	R: 4096/183	P: 0,2378-0,5403-0,6602
	AN: 148	R: 4096/183	P: 0,2378-0,5403-0,6602
	AN: 148	R: 4096/183	P: 0,2378-0,5403-0,6602
	AN: 148	R: 4096/183	P: 0,2378-0,5403-0,6602
	AN: 148	R: 4096/183	P: 0,2363-0,5383-0,6602
	AN: 148	R: 4096/183	P: 0,2290-0,5393-0,6602
	AN: 148	R: 4096/183	P: 0,2290-0,5393-0,6602
	AN: 148	R: 4096/183	P: 0,2212-0,5398-0,6704
	AN: 148	R: 4096/183	P: 0,2290-0,5393-0,6602
	AN: 148	R: 4096/184	P: 0,2310-0,5417-0,6602
	AN: 148	R: 4096/183	P: 0,2290-0,5393-0,6602
	AN: 148	R: 4096/183	P: 0,2290-0,5393-0,6602
	AN: 148	R: 4096/183	P: 0,2183-0,5462-0,6650
	AN: 148	R: 4096/183	P: 0,2363-0,5527-0,6655
	AN: 148	R: 4096/183	P: 0,2515-0,5566-0,6655
	AN: 148	R: 4096/183	P: 0,2515-0,5541-0,6655
	AN: 148	R: 4096/183	P: 0,2437-0,5559-0,6655
	AN: 148	R: 4096/183	P: 0,2378-0,5523-0,6650
	AN: 148	R: 4096/183	P: 0,2373-0,5535-0,6650
	AN: 148	R: 4096/183	P: 0,2373-0,5547-0,6650
	AN: 148	R: 4096/183	P: 0,2373-0,5535-0,6650
	AN: 148	R: 4096/183	P: 0,2373-0,5535-0,6650
	AN: 148	R: 4096/184	P: 0,2373-0,5553-0,6650
	AN: 148	R: 4096/184	P: 0,2700-0,5807-0,7148
	AN: 148	R: 4096/183	P: 0,3223-0,5777-0,6670
	AN: 148	R: 4096/183	P: 0,3345-0,5925-0,6689
	AN: 148	R: 4096/183	P: 0,3760-0,5928-0,6689
	AN: 148	R: 4096/184	P: 0,3862-0,5882-0,6689
	AN: 148	R: 4096/183	P: 0,3447-0,5960-0,7100
	AN: 148	R: 4096/183	P: 0,3862-0,5975-0,6689
	AN: 148	R: 4096/183	P: 0,3882-0,5989-0,7002
	AN: 148	R: 4096/183	P: 0,3945-0,5984-0,6689
	AN: 148	R: 4096/184	P: 0,3887-0,6018-0,7480
	AN: 148	R: 4096/184	P: 0,3945-0,6070-0,7510
	AN: 148	R: 4096/183	P: 0,4009-0,6036-0,7168
	AN: 148	R: 4096/183	P: 0,4028-0,6091-0,7290
	AN: 148	R: 4096/183	P: 0,4028-0,6091-0,7290
	AN: 148	R: 4096/183	P: 0,4028-0,6064-0,7290
	AN: 148	R: 4096/183	P: 0,4028-0,6091-0,7290
	AN: 148	R: 4096/183	P: 0,4028-0,6091-0,7290
	AN: 148	R: 4096/183	P: 0,4028-0,6091-0,7290
	AN: 148	R: 4096/183	P: 0,4028-0,6091-0,7290
	AN: 148	R: 4096/184	P: 0,4028-0,6152-0,7803
	AN: 148	R: 4096/183	P: 0,4028-0,6074-0,7222
	AN: 148	R: 4096/183	P: 0,4053-0,6088-0,7280
	AN: 148	R: 4096/183	P: 0,4419-0,6112-0,7290
	AN: 148	R: 4096/183	P: 0,4404-0,6102-0,7285
	AN: 148	R: 4096/184	P: 0,4448-0,6393-0,7812
	AN: 148	R: 4096/184	P: 0,3945-0,6372-0,7715
	AN: 148	R: 4096/184	P: 0,3594-0,6435-0,7798
	AN: 148	R: 4096/184	P: 0,3569-0,6579-0,7769
	AN: 149	R: 4095/184	P: 0,4087-0,6678-0,7729
	AN: 149	R: 4095/184	P: 0,4053-0,6660-0,7720
	AN: 149	R: 4095/184	P: 0,4194-0,6637-0,7739
	AN: 149	R: 4095/184	P: 0,4136-0,6574-0,7720
	AN: 149	R: 4095/184	P: 0,4077-0,6519-0,7710
	AN: 149	R: 4095/184	P: 0,3960-0,6475-0,7729
	AN: 149	R: 4095/184	P: 0,3799-0,6228-0,7656
	AN: 149	R: 4095/185	P: 0,3296-0,5764-0,7666
	AN: 149	R: 4095/184	P: 0,3027-0,5444-0,6572
	AN: 149	R: 4095/184	P: 0,3223-0,5675-0,7183
	AN: 149	R: 4095/184	P: 0,3379-0,5676-0,7461
	AN: 149	R: 4095/184	P: 0,3594-0,5607-0,6572
	AN: 149	R: 4095/184	P: 0,3789-0,5582-0,6572
	AN: 149	R: 4095/184	P: 0,3506-0,5517-0,6895
	AN: 150	R: 4095/187	P: 0,3335-0,5515-0,7324
	AN: 153	R: 4096/188	P: 0,3779-0,6114-0,7856
	AN: 150	R: 4096/188	P: 0,4053-0,6426-0,7866
	AN: 152	R: 4096/189	P: 0,4375-0,6208-0,7485
	AN: 165	R: 4096/200	P: 0,3433-0,4560-0,5615
	AN: 168	R: 4096/207	P: 0,3589-0,4924-0,5454
	AN: 163	R: 4096/206	P: 0,3481-0,5251-0,6045
	AN: 161	R: 4096/202	P: 0,2983-0,5075-0,6216
	AN: 162	R: 4096/201	P: 0,2656-0,5058-0,6216
	AN: 161	R: 4096/201	P: 0,3345-0,4794-0,5791
	AN: 161	R: 4096/200	P: 0,3281-0,4761-0,5576
	AN: 161	R: 4096/200	P: 0,3330-0,4822-0,5547
	AN: 161	R: 4096/200	P: 0,3506-0,4870-0,5566
	AN: 161	R: 4096/200	P: 0,3369-0,4834-0,5566
	AN: 161	R: 4096/200	P: 0,3784-0,4888-0,5664
	AN: 161	R: 4096/200	P: 0,3877-0,4945-0,5762
	AN: 161	R: 4096/200	P: 0,3701-0,4828-0,5713
	AN: 161	R: 4096/200	P: 0,3970-0,4994-0,5728
	AN: 161	R: 4096/200	P: 0,3481-0,4827-0,5654
	AN: 161	R: 4096/200	P: 0,3887-0,4905-0,5713
	AN: 161	R: 4096/200	P: 0,3579-0,4830-0,5659
	AN: 161	R: 4096/200	P: 0,3008-0,4845-0,5659
	AN: 161	R: 4096/200	P: 0,3076-0,4381-0,5435
	AN: 161	R: 4096/200	P: 0,3076-0,4311-0,5078
	AN: 161	R: 4096/200	P: 0,3076-0,4339-0,5176
	AN: 161	R: 4096/200	P: 0,2783-0,4279-0,5054
	AN: 161	R: 4096/200	P: 0,3047-0,4246-0,5063
	AN: 161	R: 4096/200	P: 0,2554-0,4166-0,5049
	AN: 161	R: 4096/200	P: 0,2515-0,4003-0,5024
	AN: 161	R: 4096/200	P: 0,2515-0,4003-0,5024
	AN: 161	R: 4096/200	P: 0,2515-0,4003-0,5024
	AN: 161	R: 4096/200	P: 0,2568-0,4085-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2578-0,4126-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 161	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
	AN: 160	R: 4096/200	P: 0,2603-0,4165-0,5024
