0. E1/E2 	19951 / 1806	1129,7287 ms 
1. E1/E2 	8183 / 1004	846,107 ms 
2. E1/E2 	1505 / 28	659,5124 ms 
3. E1/E2 	803 / 10	1145,4147 ms 
4. E1/E2 	919 / 10	1340,7385 ms 
5. E1/E2 	586 / 8	1338,7142 ms 
6. E1/E2 	440 / 3	1329,9946 ms 
7. E1/E2 	361 / 4	1304,9685 ms 
8. E1/E2 	317 / 0	1315,1505 ms 
9. E1/E2 	230 / 2	1317,9291 ms 
10. E1/E2 	238 / 3	1330,1733 ms 
11. E1/E2 	237 / 2	1314,6217 ms 
12. E1/E2 	203 / 2	1295,6651 ms 
13. E1/E2 	217 / 1	1311,8032 ms 
14. E1/E2 	220 / 3	1311,9238 ms 
15. E1/E2 	208 / 2	1263,5433 ms 
16. E1/E2 	207 / 3	1321,8544 ms 
17. E1/E2 	241 / 2	1321,9315 ms 
18. E1/E2 	162 / 0	1322,4453 ms 
19. E1/E2 	120 / 0	1320,8814 ms 
20. E1/E2 	125 / 1	1307,9494 ms 
21. E1/E2 	113 / 1	1308,8843 ms 
22. E1/E2 	143 / 3	1307,8125 ms 
23. E1/E2 	207 / 2	1308,2862 ms 
24. E1/E2 	165 / 1	1318,9962 ms 
25. E1/E2 	128 / 2	1317,0181 ms 
26. E1/E2 	134 / 0	1320,7206 ms 
27. E1/E2 	131 / 0	1323,662 ms 
28. E1/E2 	70 / 1	1310,7567 ms 
29. E1/E2 	94 / 1	1305,4717 ms 
30. E1/E2 	94 / 1	1310,1963 ms 
31. E1/E2 	103 / 0	1331,0869 ms 
32. E1/E2 	90 / 2	1335,5885 ms 
33. E1/E2 	84 / 1	1346,8413 ms 
34. E1/E2 	67 / 0	1339,0233 ms 
35. E1/E2 	36 / 0	1339,2636 ms 
36. E1/E2 	89 / 1	1336,0463 ms 
37. E1/E2 	38 / 0	1327,1141 ms 
38. E1/E2 	62 / 1	1264,4265 ms 
39. E1/E2 	65 / 1	1287,078 ms 
40. E1/E2 	56 / 1	1313,6025 ms 
41. E1/E2 	73 / 0	1306,3785 ms 
42. E1/E2 	50 / 0	1308,6793 ms 
43. E1/E2 	55 / 1	1310,7767 ms 
44. E1/E2 	43 / 0	1306,634 ms 
45. E1/E2 	50 / 0	1306,3846 ms 
46. E1/E2 	55 / 2	1307,4818 ms 
47. E1/E2 	60 / 1	1303,6686 ms 
48. E1/E2 	33 / 0	1302,0058 ms 
49. E1/E2 	23 / 0	1304,9111 ms 
50. E1/E2 	22 / 0	1306,4343 ms 
51. E1/E2 	27 / 0	1306,8723 ms 
52. E1/E2 	31 / 0	1305,9406 ms 
53. E1/E2 	35 / 0	1304,4729 ms 
54. E1/E2 	31 / 1	1306,4719 ms 
55. E1/E2 	20 / 0	1316,4142 ms 
56. E1/E2 	27 / 0	1315,6651 ms 
57. E1/E2 	34 / 0	1301,646 ms 
58. E1/E2 	26 / 0	1304,437 ms 
59. E1/E2 	28 / 0	1301,7232 ms 
60. E1/E2 	35 / 1	1304,2101 ms 
61. E1/E2 	14 / 0	1312,3627 ms 
62. E1/E2 	9 / 0	1304,3435 ms 
63. E1/E2 	1 / 0	1303,6397 ms 
64. E1/E2 	26 / 0	1303,5546 ms 
65. E1/E2 	21 / 1	1304,6531 ms 
66. E1/E2 	25 / 1	1305,0903 ms 
67. E1/E2 	12 / 1	1304,5236 ms 
68. E1/E2 	35 / 0	1302,2256 ms 
69. E1/E2 	25 / 0	1301,1366 ms 
70. E1/E2 	29 / 1	1305,9416 ms 
71. E1/E2 	32 / 1	1302,9855 ms 
72. E1/E2 	27 / 0	1310,6849 ms 
73. E1/E2 	16 / 0	1302,4207 ms 
74. E1/E2 	8 / 0	1306,5472 ms 
75. E1/E2 	11 / 0	1304,2572 ms 
76. E1/E2 	14 / 0	1304,3885 ms 
77. E1/E2 	25 / 0	1325,7076 ms 
78. E1/E2 	16 / 1	1287,6784 ms 
79. E1/E2 	23 / 0	1300,7922 ms 
80. E1/E2 	12 / 0	1300,5064 ms 
81. E1/E2 	7 / 1	1303,4882 ms 
82. E1/E2 	11 / 0	1323,9829 ms 
83. E1/E2 	22 / 1	1308,6297 ms 
84. E1/E2 	13 / 1	1288,3849 ms 
85. E1/E2 	18 / 0	1308,556 ms 
86. E1/E2 	5 / 0	1308,3409 ms 
87. E1/E2 	23 / 0	1301,3134 ms 
88. E1/E2 	17 / 0	1301,6871 ms 
89. E1/E2 	16 / 1	1286,0896 ms 
90. E1/E2 	8 / 0	1267,7659 ms 
91. E1/E2 	1 / 1	1303,6295 ms 
92. E1/E2 	1 / 1	1300,2353 ms 
93. E1/E2 	0 / 0	1301,1319 ms 
	FullTime = 121773,5412 ms 
