0. E1/E2 	7043 / 925	AN: 216	1442,281 ms 
1. E1/E2 	3858 / 395	AN: 169	1318,3368 ms 
2. E1/E2 	3684 / 506	AN: 206	1314,8411 ms 
3. E1/E2 	1703 / 111	AN: 187	1278,0379 ms 
4. E1/E2 	1567 / 121	AN: 192	1253,4889 ms 
5. E1/E2 	2086 / 244	AN: 204	1313,4225 ms 
6. E1/E2 	2352 / 377	AN: 217	1302,1779 ms 
7. E1/E2 	2730 / 571	AN: 227	1298,4979 ms 
8. E1/E2 	1024 / 61	AN: 208	1251,5912 ms 
9. E1/E2 	668 / 27	AN: 206	1256,9007 ms 
10. E1/E2 	623 / 27	AN: 205	1258,4584 ms 
11. E1/E2 	522 / 24	AN: 205	1251,118 ms 
12. E1/E2 	386 / 15	AN: 207	1265,9112 ms 
13. E1/E2 	446 / 17	AN: 207	1247,376 ms 
14. E1/E2 	295 / 7	AN: 207	1255,2073 ms 
15. E1/E2 	287 / 9	AN: 207	1246,0542 ms 
16. E1/E2 	260 / 6	AN: 207	1247,6525 ms 
17. E1/E2 	218 / 5	AN: 206	1252,5429 ms 
18. E1/E2 	188 / 5	AN: 208	1264,364 ms 
19. E1/E2 	203 / 9	AN: 208	1251,1298 ms 
20. E1/E2 	233 / 8	AN: 208	1257,2564 ms 
21. E1/E2 	145 / 5	AN: 209	1259,6467 ms 
22. E1/E2 	162 / 4	AN: 209	1258,9354 ms 
23. E1/E2 	137 / 8	AN: 208	1240,2352 ms 
24. E1/E2 	154 / 4	AN: 208	1260,6858 ms 
25. E1/E2 	211 / 4	AN: 208	1253,746 ms 
26. E1/E2 	138 / 5	AN: 208	1265,0435 ms 
27. E1/E2 	131 / 5	AN: 207	1266,4549 ms 
28. E1/E2 	131 / 6	AN: 207	1248,8459 ms 
29. E1/E2 	152 / 3	AN: 207	1252,2893 ms 
30. E1/E2 	116 / 2	AN: 207	1236,6235 ms 
31. E1/E2 	96 / 3	AN: 208	1247,0909 ms 
32. E1/E2 	129 / 5	AN: 208	1255,9039 ms 
33. E1/E2 	105 / 2	AN: 208	1244,1535 ms 
34. E1/E2 	106 / 0	AN: 208	1247,3645 ms 
35. E1/E2 	101 / 0	AN: 208	1262,3638 ms 
36. E1/E2 	111 / 5	AN: 208	1241,9217 ms 
37. E1/E2 	121 / 3	AN: 208	1229,7556 ms 
38. E1/E2 	298 / 7	AN: 209	1264,0712 ms 
39. E1/E2 	226 / 6	AN: 208	1250,8518 ms 
40. E1/E2 	200 / 6	AN: 208	1252,2339 ms 
41. E1/E2 	179 / 5	AN: 208	1261,7194 ms 
42. E1/E2 	142 / 3	AN: 208	1252,5482 ms 
43. E1/E2 	135 / 5	AN: 208	1258,5479 ms 
44. E1/E2 	105 / 4	AN: 208	1239,8411 ms 
45. E1/E2 	119 / 3	AN: 209	1251,603 ms 
46. E1/E2 	105 / 4	AN: 210	1250,308 ms 
47. E1/E2 	107 / 3	AN: 210	1248,2385 ms 
48. E1/E2 	99 / 1	AN: 210	1251,8216 ms 
