0. E1/E2 	26563 / 2337	68556,3425 ms 
1. E1/E2 	10449 / 1377	67995,1852 ms 
2. E1/E2 	1123 / 12	67380,1956 ms 
3. E1/E2 	602 / 6	67347,3993 ms 
4. E1/E2 	416 / 3	67255,7369 ms 
5. E1/E2 	379 / 3	67340,1707 ms 
6. E1/E2 	235 / 2	67344,7668 ms 
7. E1/E2 	185 / 2	67283,6918 ms 
8. E1/E2 	171 / 1	67397,8995 ms 
9. E1/E2 	127 / 0	67460,0004 ms 
10. E1/E2 	111 / 0	67170,868 ms 
11. E1/E2 	88 / 0	67239,7989 ms 
12. E1/E2 	72 / 1	67229,5637 ms 
13. E1/E2 	93 / 1	67331,3138 ms 
14. E1/E2 	35 / 1	67245,7299 ms 
15. E1/E2 	58 / 0	67369,9784 ms 
16. E1/E2 	70 / 1	67221,8865 ms 
17. E1/E2 	37 / 0	67232,9766 ms 
18. E1/E2 	55 / 1	67169,3641 ms 
19. E1/E2 	34 / 0	67369,199 ms 
20. E1/E2 	39 / 1	67331,126 ms 
21. E1/E2 	29 / 0	68581,2943 ms 
22. E1/E2 	11 / 0	67160,9206 ms 
23. E1/E2 	12 / 1	67113,2385 ms 
24. E1/E2 	26 / 1	67263,6707 ms 
25. E1/E2 	20 / 0	67183,6994 ms 
26. E1/E2 	6 / 0	67243,3346 ms 
27. E1/E2 	10 / 1	67145,6224 ms 
28. E1/E2 	32 / 1	67124,6174 ms 
29. E1/E2 	36 / 1	67169,2345 ms 
30. E1/E2 	30 / 1	67296,9308 ms 
31. E1/E2 	23 / 1	66961,5089 ms 
32. E1/E2 	31 / 1	66967,9692 ms 
33. E1/E2 	26 / 1	67029,0207 ms 
34. E1/E2 	8 / 0	66993,3837 ms 
35. E1/E2 	17 / 0	67152,6727 ms 
36. E1/E2 	10 / 1	67090,6671 ms 
37. E1/E2 	24 / 0	67034,5741 ms 
38. E1/E2 	19 / 1	67191,3247 ms 
39. E1/E2 	2 / 1	67127,0646 ms 
40. E1/E2 	1 / 1	67122,6355 ms 
41. E1/E2 	1 / 1	67052,7895 ms 
42. E1/E2 	0 / 0	67074,7382 ms 
	FullTime = 2893425,5008 ms 
