AElement = 357
	AnalyzeTime = 24923,5428 ms 
2 - 547 - 30,7507 ms
3 - 318 - 23,5567 ms
4 - 283 - 31,2868 ms
5 - 245 - 34,7666 ms
6 - 225 - 28,7894 ms
7 - 195 - 19,7022 ms
8 - 220 - 31,2916 ms
9 - 192 - 34,1239 ms
10 - 178 - 17,8876 ms
11 - 206 - 31,2837 ms
12 - 202 - 35,6211 ms
13 - 173 - 30,5951 ms
14 - 177 - 19,1459 ms
15 - 175 - 31,2611 ms
16 - 183 - 35,5469 ms
17 - 176 - 28,2426 ms
18 - 156 - 19,7354 ms
19 - 165 - 35,9875 ms
20 - 178 - 30,2256 ms
21 - 141 - 17,0111 ms
22 - 156 - 31,2724 ms
23 - 166 - 36,9581 ms
24 - 165 - 27,7847 ms
25 - 157 - 18,7289 ms
26 - 154 - 31,2133 ms
27 - 144 - 36,4694 ms
28 - 139 - 28,1008 ms
29 - 159 - 20,9096 ms
30 - 149 - 31,309 ms
31 - 154 - 32,0607 ms
32 - 141 - 18,8952 ms
33 - 128 - 31,2502 ms
34 - 136 - 36,8907 ms
35 - 143 - 28,0465 ms
36 - 127 - 19,1207 ms
37 - 143 - 31,2539 ms
38 - 137 - 35,3955 ms
39 - 150 - 17,0983 ms
40 - 137 - 15,6262 ms
41 - 132 - 41,7433 ms
42 - 126 - 27,304 ms
43 - 127 - 15,6254 ms
44 - 138 - 31,3026 ms
45 - 144 - 39,9677 ms
46 - 140 - 26,7016 ms
47 - 132 - 15,6621 ms
48 - 135 - 28,4458 ms
49 - 117 - 28,2073 ms
50 - 135 - 28,7082 ms
51 - 120 - 15,7245 ms
52 - 116 - 40,7604 ms
53 - 118 - 26,7154 ms
54 - 131 - 15,6384 ms
55 - 118 - 36,6187 ms
56 - 123 - 35,8129 ms
57 - 124 - 27,65 ms
58 - 117 - 15,626 ms
59 - 112 - 42,8625 ms
60 - 118 - 26,0133 ms
61 - 122 - 31,2869 ms
62 - 104 - 21,0567 ms
63 - 124 - 36,557 ms
64 - 107 - 26,6988 ms
65 - 118 - 15,6246 ms
66 - 109 - 42,2444 ms
67 - 108 - 24,8337 ms
68 - 124 - 15,6268 ms
69 - 100 - 15,6618 ms
70 - 112 - 36,8431 ms
71 - 106 - 33,3387 ms
72 - 101 - 27,7615 ms
73 - 124 - 18,6556 ms
74 - 99 - 38,0633 ms
75 - 113 - 27,8344 ms
76 - 122 - 16,731 ms
77 - 116 - 40,5662 ms
78 - 105 - 28,4404 ms
79 - 101 - 27,8507 ms
80 - 118 - 18,6488 ms
81 - 96 - 31,296 ms
82 - 110 - 31,239 ms
83 - 109 - 31,2538 ms
84 - 97 - 23,8612 ms
85 - 103 - 35,7956 ms
86 - 114 - 28,7853 ms
87 - 93 - 17,6846 ms
88 - 108 - 38,7123 ms
89 - 89 - 27,2623 ms
90 - 95 - 15,6262 ms
91 - 108 - 36,3255 ms
92 - 106 - 34,7462 ms
93 - 102 - 13,0019 ms
94 - 84 - 31,3109 ms
95 - 99 - 35,2067 ms
96 - 101 - 32,5741 ms
97 - 116 - 17,0854 ms
98 - 101 - 36,228 ms
99 - 104 - 31,0202 ms
100 - 112 - 15,066 ms
101 - 109 - 31,2955 ms
102 - 110 - 35,0598 ms
103 - 103 - 31,3626 ms
104 - 100 - 18,0394 ms
105 - 98 - 36,7593 ms
106 - 81 - 29,1364 ms
107 - 92 - 17,0447 ms
108 - 91 - 31,3296 ms
109 - 115 - 36,0359 ms
110 - 86 - 27,9903 ms
111 - 88 - 19,8766 ms
112 - 93 - 31,2965 ms
113 - 100 - 34,5716 ms
114 - 104 - 27,8651 ms
115 - 98 - 23,0417 ms
116 - 83 - 31,2706 ms
117 - 106 - 30,0222 ms
118 - 89 - 20,7269 ms
119 - 88 - 31,3228 ms
120 - 75 - 34,9585 ms
121 - 92 - 27,8536 ms
122 - 101 - 21,653 ms
123 - 95 - 31,2937 ms
124 - 102 - 32,3196 ms
125 - 94 - 20,6229 ms
126 - 91 - 31,2757 ms
127 - 91 - 34,4732 ms
128 - 82 - 16,9983 ms
129 - 85 - 39,8787 ms
130 - 85 - 24,9835 ms
131 - 104 - 15,6051 ms
132 - 94 - 28,0143 ms
133 - 88 - 23,6816 ms
134 - 100 - 31,2487 ms
135 - 92 - 31,1267 ms
136 - 89 - 20,6646 ms
137 - 85 - 31,3056 ms
138 - 90 - 31,255 ms
139 - 69 - 27,9947 ms
140 - 86 - 24,7823 ms
141 - 92 - 31,287 ms
142 - 74 - 28,2183 ms
143 - 94 - 22,9596 ms
144 - 87 - 31,251 ms
145 - 80 - 15,6631 ms
146 - 90 - 41,9462 ms
147 - 82 - 25,7313 ms
148 - 87 - 15,6307 ms
149 - 82 - 43,1978 ms
150 - 71 - 27,9093 ms
151 - 79 - 28,7927 ms
152 - 82 - 17,6554 ms
153 - 74 - 38,8673 ms
154 - 80 - 27,8125 ms
155 - 84 - 15,6665 ms
156 - 82 - 36,3092 ms
157 - 66 - 34,108 ms
158 - 86 - 14,071 ms
159 - 75 - 31,2933 ms
160 - 84 - 39,1561 ms
161 - 90 - 28,7563 ms
162 - 81 - 15,6254 ms
163 - 72 - 36,3615 ms
164 - 75 - 35,1201 ms
165 - 83 - 13,0052 ms
166 - 78 - 31,285 ms
167 - 82 - 34,9786 ms
168 - 77 - 34,1288 ms
169 - 86 - 16,0052 ms
170 - 104 - 36,58 ms
171 - 66 - 31,2649 ms
172 - 74 - 15,066 ms
173 - 73 - 31,7065 ms
174 - 59 - 34,7661 ms
175 - 71 - 31,6941 ms
176 - 78 - 18,6778 ms
177 - 86 - 31,3184 ms
178 - 76 - 36,7173 ms
179 - 80 - 28,0269 ms
180 - 63 - 19,6451 ms
181 - 81 - 31,2517 ms
182 - 77 - 34,4804 ms
183 - 79 - 27,7654 ms
184 - 82 - 21,737 ms
185 - 65 - 34,6486 ms
186 - 75 - 28,9622 ms
187 - 76 - 19,785 ms
188 - 77 - 31,2541 ms
189 - 79 - 31,615 ms
190 - 76 - 20,3955 ms
191 - 76 - 31,3081 ms
192 - 61 - 31,2474 ms
193 - 71 - 21,2442 ms
194 - 83 - 38,5505 ms
195 - 58 - 26,6513 ms
196 - 74 - 15,6633 ms
197 - 90 - 42,0326 ms
198 - 88 - 25,7017 ms
199 - 68 - 15,5748 ms
200 - 78 - 43,6424 ms
201 - 69 - 23,9069 ms
202 - 80 - 15,6494 ms
203 - 71 - 15,6621 ms
204 - 70 - 39,8444 ms
205 - 74 - 26,9153 ms
206 - 61 - 16,7354 ms
207 - 80 - 40,6131 ms
208 - 68 - 27,1852 ms
209 - 73 - 31,2888 ms
210 - 63 - 15,6239 ms
211 - 73 - 40,7336 ms
212 - 72 - 28,0584 ms
213 - 79 - 15,6262 ms
214 - 70 - 41,8845 ms
215 - 65 - 25,7817 ms
216 - 75 - 15,6255 ms
217 - 78 - 31,2509 ms
218 - 86 - 40,0238 ms
219 - 73 - 27,6524 ms
220 - 69 - 15,6278 ms
221 - 68 - 41,4288 ms
222 - 73 - 28,9327 ms
223 - 66 - 27,7188 ms
224 - 65 - 19,7203 ms
225 - 74 - 36,857 ms
226 - 69 - 28,8838 ms
227 - 73 - 16,7757 ms
228 - 71 - 36,2863 ms
229 - 67 - 32,8172 ms
230 - 72 - 15,0016 ms
231 - 57 - 31,2729 ms
232 - 62 - 35,1863 ms
233 - 67 - 30,4598 ms
234 - 63 - 19,9711 ms
235 - 64 - 36,3779 ms
236 - 53 - 30,819 ms
237 - 65 - 15,9987 ms
238 - 76 - 31,2747 ms
239 - 62 - 35,6143 ms
240 - 66 - 30,1613 ms
241 - 65 - 19,7403 ms
242 - 65 - 36,2947 ms
243 - 62 - 29,9917 ms
244 - 65 - 17,9986 ms
245 - 64 - 31,2649 ms
246 - 60 - 34,6351 ms
247 - 77 - 27,879 ms
248 - 64 - 20,7544 ms
249 - 63 - 35,2043 ms
250 - 66 - 28,398 ms
251 - 60 - 19,7843 ms
252 - 68 - 31,2521 ms
253 - 60 - 33,2724 ms
254 - 75 - 28,3768 ms
255 - 57 - 22,7738 ms
256 - 53 - 31,2516 ms
257 - 52 - 30,5311 ms
258 - 61 - 21,5822 ms
259 - 57 - 31,2745 ms
260 - 72 - 15,6254 ms
261 - 65 - 44,0836 ms
262 - 59 - 26,0212 ms
263 - 59 - 15,6251 ms
264 - 59 - 43,4651 ms
265 - 66 - 23,4716 ms
266 - 58 - 31,2542 ms
267 - 57 - 15,6614 ms
268 - 55 - 41,9915 ms
269 - 63 - 27,0158 ms
270 - 69 - 15,6616 ms
271 - 59 - 36,1811 ms
272 - 60 - 35,9144 ms
273 - 50 - 27,6508 ms
274 - 68 - 15,6627 ms
275 - 76 - 40,7539 ms
276 - 58 - 27,9297 ms
277 - 53 - 15,6257 ms
278 - 68 - 31,2857 ms
279 - 47 - 35,6575 ms
280 - 66 - 31,713 ms
281 - 66 - 18,8135 ms
282 - 52 - 31,2844 ms
283 - 42 - 36,042 ms
284 - 51 - 27,8015 ms
285 - 54 - 20,7236 ms
286 - 66 - 34,9617 ms
287 - 59 - 29,4359 ms
288 - 51 - 17,3707 ms
289 - 55 - 31,251 ms
290 - 57 - 36,628 ms
291 - 61 - 16,057 ms
292 - 55 - 31,2863 ms
293 - 51 - 37,3567 ms
294 - 52 - 17,08 ms
295 - 51 - 39,4318 ms
296 - 52 - 23,5052 ms
297 - 49 - 31,9995 ms
298 - 50 - 17,064 ms
299 - 70 - 39,8132 ms
300 - 56 - 25,7575 ms
301 - 54 - 21,2542 ms
302 - 45 - 38,8871 ms
303 - 61 - 27,6009 ms
304 - 51 - 28,0361 ms
305 - 58 - 15,6813 ms
306 - 40 - 31,2144 ms
307 - 42 - 31,2921 ms
308 - 64 - 35,9999 ms
309 - 50 - 27,1164 ms
310 - 55 - 23,9058 ms
311 - 53 - 31,2962 ms
312 - 56 - 18,6419 ms
313 - 70 - 39,0598 ms
314 - 52 - 26,6552 ms
315 - 60 - 20,9531 ms
316 - 57 - 39,1744 ms
317 - 60 - 21,7892 ms
318 - 54 - 31,2538 ms
319 - 46 - 32,5828 ms
320 - 51 - 20,4178 ms
321 - 48 - 31,2899 ms
322 - 59 - 31,2451 ms
323 - 53 - 29,3496 ms
324 - 36 - 23,7353 ms
325 - 54 - 31,27 ms
326 - 51 - 15,6582 ms
327 - 51 - 41,8426 ms
328 - 56 - 28,023 ms
329 - 57 - 15,6253 ms
330 - 59 - 41,5475 ms
331 - 48 - 25,8943 ms
332 - 51 - 31,2523 ms
333 - 54 - 15,6253 ms
334 - 45 - 42,9453 ms
335 - 54 - 26,8379 ms
336 - 52 - 15,6468 ms
337 - 54 - 36,7123 ms
338 - 43 - 35,4924 ms
339 - 53 - 27,6884 ms
340 - 48 - 15,6607 ms
341 - 44 - 40,9728 ms
342 - 66 - 28,0681 ms
343 - 54 - 15,6253 ms
344 - 50 - 36,6281 ms
345 - 60 - 34,5293 ms
346 - 38 - 13,0003 ms
347 - 42 - 31,3155 ms
348 - 47 - 35,1282 ms
349 - 49 - 34,1786 ms
350 - 52 - 16,0047 ms
351 - 50 - 36,1666 ms
352 - 42 - 32,6558 ms
353 - 51 - 14,1102 ms
354 - 51 - 31,2844 ms
355 - 52 - 38,2198 ms
356 - 57 - 27,4182 ms
357 - 51 - 16,817 ms
358 - 41 - 31,2494 ms
359 - 46 - 36,7295 ms
360 - 50 - 28,4671 ms
361 - 53 - 20,3037 ms
362 - 46 - 31,2507 ms
363 - 60 - 18,6138 ms
364 - 51 - 27,7378 ms
365 - 55 - 22,827 ms
366 - 64 - 34,5581 ms
367 - 54 - 27,9326 ms
368 - 42 - 19,6864 ms
