0. E1/E2 	59 / 7 (1,0000)	19 ms 2/0 0-0-4	E: 61 / 49
1. E1/E2 	60 / 6 (1,0000)	6 ms 1/0 0-0-3	E: 53 / 51
2. E1/E2 	51 / 6 (1,0000)	6 ms 2/0 0-0-3	E: 59 / 52
3. E1/E2 	47 / 3 (1,0000)	10 ms 5/0 0-0-2	E: 56 / 47
4. E1/E2 	56 / 8 (1,0000)	6 ms 1/0 0-0-4	E: 57 / 50
5. E1/E2 	51 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 56 / 53
6. E1/E2 	41 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 57 / 48
7. E1/E2 	53 / 5 (1,0000)	5 ms 1/0 0-0-3	E: 66 / 51
8. E1/E2 	59 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 53 / 51
9. E1/E2 	59 / 4 (1,0000)	5 ms 1/0 0-0-2	E: 57 / 53
10. E1/E2 	50 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 53 / 51
11. E1/E2 	39 / 1 (1,0000)	5 ms 4/0 0-0-1	E: 52 / 47
12. E1/E2 	41 / 5 (1,0000)	5 ms 1/0 0-0-3	E: 60 / 51
13. E1/E2 	47 / 6 (1,0000)	5 ms 1/0 0-0-3	E: 76 / 48
14. E1/E2 	58 / 5 (1,0000)	4 ms 1/0 0-0-3	E: 54 / 49
15. E1/E2 	41 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 57 / 49
16. E1/E2 	43 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 56 / 52
17. E1/E2 	51 / 10 (1,0000)	8 ms 1/0 0-0-5	E: 59 / 55
18. E1/E2 	46 / 2 (1,0000)	4 ms 1/0 0-0-1	E: 60 / 50
19. E1/E2 	51 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 52 / 52
20. E1/E2 	46 / 5 (1,0000)	5 ms 1/0 0-0-3	E: 53 / 48
21. E1/E2 	48 / 4 (1,0000)	6 ms 1/0 0-0-3	E: 56 / 52
22. E1/E2 	51 / 0 (1,0000)	3 ms 2/0 0-0-0	E: 55 / 52
23. E1/E2 	46 / 4 (1,0000)	5 ms 1/0 0-0-2	E: 58 / 51
24. E1/E2 	52 / 3 (1,0000)	6 ms 1/0 0-0-3	E: 66 / 48
25. E1/E2 	41 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 50
26. E1/E2 	52 / 6 (1,0000)	6 ms 1/0 0-0-4	E: 57 / 50
27. E1/E2 	41 / 1 (1,0000)	4 ms 2/0 0-0-1	E: 52 / 51
28. E1/E2 	54 / 3 (1,0000)	4 ms 1/0 0-0-2	E: 55 / 51
29. E1/E2 	48 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 62 / 48
30. E1/E2 	42 / 2 (1,0000)	3 ms 1/0 0-0-1	E: 67 / 53
31. E1/E2 	43 / 4 (1,0000)	6 ms 2/0 0-0-3	E: 58 / 57
32. E1/E2 	46 / 3 (1,0000)	4 ms 1/0 0-0-2	E: 54 / 50
